"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01000872",1662,374,271,794,43,40,92,48,22.503008423586,16.3056558363418,47.7737665463297,2.58724428399519,2.40673886883273,5.53549939831528,2.88808664259928
"E01000873",1386,414,211,572,37,26,87,39,29.8701298701299,15.2236652236652,41.2698412698413,2.66955266955267,1.87590187590188,6.27705627705628,2.81385281385281
"E01000874",1332,542,146,488,24,20,68,44,40.6906906906907,10.960960960961,36.6366366366366,1.8018018018018,1.5015015015015,5.10510510510511,3.3033033033033
"E01000875",1450,264,269,700,47,45,84,41,18.2068965517241,18.551724137931,48.2758620689655,3.24137931034483,3.10344827586207,5.79310344827586,2.82758620689655
"E01000876",1427,346,190,650,39,47,90,65,24.2466713384723,13.3146461107218,45.5501051156272,2.73300630693763,3.29362298528381,6.30693763139453,4.55501051156272
"E01000877",1328,450,204,509,32,22,84,27,33.8855421686747,15.3614457831325,38.328313253012,2.40963855421687,1.6566265060241,6.32530120481928,2.03313253012048
"E01000878",1054,466,104,307,33,11,68,65,44.2125237191651,9.86717267552182,29.1271347248577,3.13092979127135,1.04364326375712,6.45161290322581,6.16698292220114
"E01000879",1067,442,142,310,17,23,81,52,41.4245548266167,13.3083411433927,29.0534208059981,1.59325210871603,2.15557638238051,7.59137769447048,4.87347703842549
"E01000880",1168,584,102,319,32,16,75,40,50,8.73287671232877,27.3116438356164,2.73972602739726,1.36986301369863,6.42123287671233,3.42465753424658
"E01000881",1174,396,174,449,35,25,67,28,33.7308347529813,14.8211243611584,38.2453151618399,2.98126064735945,2.12947189097104,5.70698466780239,2.38500851788756
"E01000882",1268,496,200,405,34,18,79,36,39.1167192429022,15.7728706624606,31.9400630914826,2.6813880126183,1.41955835962145,6.23028391167192,2.8391167192429
"E01000883",1137,398,130,449,51,20,58,31,35.0043975373791,11.4335971855761,39.4898856640281,4.48548812664908,1.75901495162709,5.10114335971856,2.72647317502199
"E01000884",1125,570,90,300,43,13,58,51,50.6666666666667,8,26.6666666666667,3.82222222222222,1.15555555555556,5.15555555555556,4.53333333333333
"E01000885",1123,578,114,238,51,18,46,78,51.4692787177204,10.1513802315227,21.193232413179,4.54140694568121,1.60284951024043,4.09617097061443,6.94568121104185
"E01000886",1173,408,170,442,28,22,83,20,34.7826086956522,14.4927536231884,37.6811594202899,2.38704177323103,1.87553282182438,7.07587382779199,1.70502983802217
"E01000887",1256,352,196,508,34,26,101,39,28.0254777070064,15.6050955414013,40.4458598726115,2.70700636942675,2.07006369426752,8.04140127388535,3.10509554140127
"E01000888",1279,418,206,475,28,31,78,43,32.6817826426896,16.1063330727131,37.1383893666927,2.18921032056294,2.42376856919468,6.09851446442533,3.36200156372166
"E01000889",1304,338,146,576,28,43,88,85,25.920245398773,11.1963190184049,44.1717791411043,2.14723926380368,3.29754601226994,6.74846625766871,6.51840490797546
"E01000890",1306,344,107,521,44,57,136,97,26.3399693721286,8.19295558958652,39.8928024502297,3.36906584992343,4.36447166921899,10.4134762633997,7.42725880551302
"E01000891",1193,256,102,603,35,43,96,58,21.4585079631182,8.5498742665549,50.544844928751,2.93378038558257,3.60435875943001,8.04694048616932,4.86169321039397
"E01000892",1481,466,218,537,55,26,89,90,31.4652261985145,14.7197839297772,36.2592842673869,3.7137069547603,1.75557056043214,6.00945307224848,6.07697501688049
"E01000893",1301,500,214,394,23,29,87,54,38.4319754035357,16.4488854727133,30.2843966179862,1.76787086856264,2.22905457340507,6.68716372021522,4.15065334358186
"E01000894",1123,564,138,268,36,11,59,47,50.2226179875334,12.2885129118433,23.8646482635797,3.20569902048085,0.979519145146928,5.25378450578807,4.18521816562778
"E01000895",1378,452,237,430,34,23,106,96,32.8011611030479,17.1988388969521,31.2046444121916,2.46734397677794,1.66908563134978,7.69230769230769,6.966618287373
"E01000896",1391,664,188,367,30,8,79,55,47.7354421279655,13.5154565061107,26.3838964773544,2.15672178289001,0.575125808770669,5.67936736161035,3.95398993529835
"E01000897",1283,612,190,272,28,20,93,68,47.7007014809041,14.809041309431,21.2003117692907,2.18238503507405,1.55884645362432,7.24863600935308,5.30007794232268
"E01000898",1431,394,178,625,54,31,93,56,27.5331935709294,12.4388539482879,43.675751222921,3.77358490566038,2.16631726065688,6.49895178197065,3.91334730957372
"E01000899",1279,690,139,269,35,18,61,67,53.948397185301,10.8678655199375,21.0320562939797,2.73651290070367,1.40734949179046,4.76935105551212,5.23846755277561
"E01000900",1474,406,186,642,38,41,99,62,27.5440976933514,12.6187245590231,43.5549525101764,2.57801899592944,2.78154681139756,6.71641791044776,4.20624151967436
"E01000901",1318,360,114,573,47,46,106,72,27.3141122913505,8.649468892261,43.4749620637329,3.5660091047041,3.49013657056146,8.04248861911988,5.46282245827011
"E01000902",1102,286,109,500,28,32,96,51,25.9528130671506,9.89110707803993,45.3720508166969,2.54083484573503,2.9038112522686,8.71143375680581,4.62794918330308
"E01000903",1226,368,172,467,36,27,92,64,30.0163132137031,14.0293637846656,38.0913539967374,2.93637846655791,2.20228384991843,7.50407830342577,5.22022838499184
"E01000904",1739,398,234,822,35,40,133,77,22.8867165037378,13.4560092006901,47.2685451408856,2.01265094882116,2.30017251293847,7.64807360552041,4.42783208740656
"E01000905",1489,384,94,692,41,53,120,105,25.7891202149093,6.31296171927468,46.4741437206179,2.75352585627938,3.5594358629953,8.05910006715917,7.05171255876427
"E01000906",1380,364,240,571,37,19,84,65,26.3768115942029,17.3913043478261,41.3768115942029,2.68115942028985,1.3768115942029,6.08695652173913,4.71014492753623
"E01000907",1135,312,146,455,19,42,95,66,27.488986784141,12.863436123348,40.0881057268723,1.67400881057269,3.70044052863436,8.37004405286344,5.81497797356828
"E01000908",1289,318,184,562,32,29,111,53,24.6702870442203,14.2746314972847,43.599689681924,2.48254460822343,2.24980605120248,8.61132660977502,4.11171450737005
"E01000909",1370,542,176,444,24,28,98,58,39.5620437956204,12.8467153284672,32.4087591240876,1.75182481751825,2.04379562043796,7.15328467153285,4.23357664233577
"E01000910",1221,514,162,401,23,23,56,42,42.0966420966421,13.2678132678133,32.8419328419328,1.88370188370188,1.88370188370188,4.58640458640459,3.43980343980344
"E01000911",1231,424,182,429,28,29,83,56,34.4435418359058,14.7847278635256,34.8497156783103,2.27457351746548,2.35580828594639,6.74248578391552,4.54914703493095
"E01000912",1329,318,144,602,26,34,119,86,23.9277652370203,10.8352144469526,45.2972159518435,1.95635816403311,2.55831452219714,8.95410082768999,6.47103085026336
"E01000913",1410,710,174,329,30,27,76,64,50.354609929078,12.3404255319149,23.3333333333333,2.12765957446809,1.91489361702128,5.39007092198582,4.53900709219858
"E01000914",1617,326,173,844,86,27,104,57,20.160791589363,10.6988249845393,52.1954236239951,5.31849103277675,1.66975881261596,6.43166357452072,3.52504638218924
"E01000915",1234,310,179,546,34,39,65,61,25.1215559157212,14.5056726094003,44.2463533225284,2.75526742301459,3.16045380875203,5.26742301458671,4.94327390599676
"E01000916",1483,338,217,701,41,45,84,57,22.7916385704653,14.6325016857721,47.2690492245448,2.76466621712744,3.03438975050573,5.66419420094403,3.84356035064059
"E01000917",1457,310,170,658,51,53,155,60,21.2765957446809,11.6678105696637,45.1612903225806,3.50034317089911,3.63761153054221,10.6382978723404,4.11805078929307
"E01000918",1681,342,192,892,56,43,106,50,20.3450327186199,11.4217727543129,53.0636525877454,3.3313503866746,2.558001189768,6.30577037477692,2.97441998810232
"E01000919",1494,288,152,762,90,25,121,56,19.2771084337349,10.1740294511379,51.004016064257,6.02409638554217,1.67336010709505,8.09906291834003,3.7483266398929
