"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00004772",273,20,10,3,7,3,2,4,17,27,80,51,15,15,13,2,4,39.003663003663,38,7.32600732600733,3.66300366300366,1.0989010989011,2.56410256410256,1.0989010989011,0.732600732600733,1.46520146520147,6.22710622710623,9.89010989010989,29.3040293040293,18.6813186813187,5.49450549450549,5.49450549450549,4.76190476190476,0.732600732600733,1.46520146520147
"E00004773",251,9,7,3,10,3,4,2,12,29,79,43,13,15,15,4,3,39.9800796812749,36,3.58565737051793,2.78884462151394,1.19521912350598,3.98406374501992,1.19521912350598,1.59362549800797,0.796812749003984,4.7808764940239,11.5537848605578,31.4741035856574,17.1314741035857,5.1792828685259,5.97609561752988,5.97609561752988,1.59362549800797,1.19521912350598
"E00004774",206,10,5,1,6,2,0,1,14,35,72,24,9,13,11,3,0,37.878640776699,32,4.85436893203883,2.42718446601942,0.485436893203883,2.9126213592233,0.970873786407767,0,0.485436893203883,6.79611650485437,16.9902912621359,34.9514563106796,11.6504854368932,4.36893203883495,6.31067961165049,5.33980582524272,1.45631067961165,0
"E00004775",267,24,6,5,10,3,4,2,13,32,85,39,16,18,8,2,0,35.9063670411985,36,8.98876404494382,2.24719101123596,1.87265917602996,3.74531835205993,1.12359550561798,1.49812734082397,0.749063670411985,4.8689138576779,11.9850187265918,31.8352059925094,14.6067415730337,5.99250936329588,6.74157303370786,2.99625468164794,0.749063670411985,0
"E00004776",310,22,7,4,8,1,1,5,24,58,111,39,14,9,6,1,0,33.8483870967742,31.5,7.09677419354839,2.25806451612903,1.29032258064516,2.58064516129032,0.32258064516129,0.32258064516129,1.61290322580645,7.74193548387097,18.7096774193548,35.8064516129032,12.5806451612903,4.51612903225806,2.90322580645161,1.93548387096774,0.32258064516129,0
"E00004777",301,32,21,8,14,6,5,4,28,29,87,35,10,10,9,2,1,31.0033222591362,30,10.6312292358804,6.97674418604651,2.6578073089701,4.65116279069767,1.99335548172757,1.66112956810631,1.32890365448505,9.30232558139535,9.63455149501661,28.9036544850498,11.6279069767442,3.32225913621263,3.32225913621263,2.99003322259136,0.664451827242525,0.332225913621262
"E00004778",254,8,10,8,6,0,3,2,7,15,60,47,18,14,19,15,22,48.8543307086614,46.5,3.1496062992126,3.93700787401575,3.1496062992126,2.36220472440945,0,1.18110236220472,0.78740157480315,2.75590551181102,5.90551181102362,23.6220472440945,18.503937007874,7.08661417322835,5.51181102362205,7.48031496062992,5.90551181102362,8.66141732283465
"E00004779",299,25,13,6,14,2,4,1,11,13,87,51,11,25,21,9,6,41.2909698996656,40,8.36120401337793,4.34782608695652,2.0066889632107,4.68227424749164,0.668896321070234,1.33779264214047,0.334448160535117,3.67892976588629,4.34782608695652,29.0969899665552,17.056856187291,3.67892976588629,8.36120401337793,7.02341137123746,3.01003344481605,2.0066889632107
"E00004780",276,25,9,3,10,0,4,5,10,22,92,42,18,16,14,4,2,38.6557971014493,37.5,9.05797101449275,3.26086956521739,1.08695652173913,3.6231884057971,0,1.44927536231884,1.81159420289855,3.6231884057971,7.97101449275362,33.3333333333333,15.2173913043478,6.52173913043478,5.79710144927536,5.07246376811594,1.44927536231884,0.72463768115942
"E00004781",297,20,10,5,8,3,5,7,26,43,72,47,10,12,11,8,10,37.8653198653199,33,6.73400673400673,3.36700336700337,1.68350168350168,2.69360269360269,1.01010101010101,1.68350168350168,2.35690235690236,8.75420875420875,14.4781144781145,24.2424242424242,15.8249158249158,3.36700336700337,4.04040404040404,3.7037037037037,2.69360269360269,3.36700336700337
