"GeographyCode","KS607EW0001","KS607EW0002","KS607EW0003","KS607EW0004","KS607EW0005","KS607EW0006","KS607EW0007","KS607EW0008","KS607EW0009","KS607EW0010","KS607EW0011","KS607EW0012","KS607EW0013","KS607EW0014","KS607EW0015","KS607EW0016","KS607EW0017","KS607EW0018","KS607EW0019","KS607EW0020","KS607EW0021","KS607EW0022","KS607EW0023","KS607EW0024","KS607EW0025","KS607EW0026","KS607EW0027","KS607EW0028","KS607EW0029","KS607EW0030","KS607EW0031","KS607EW0032","KS607EW0033","KS607EW0034","KS607EW0035","KS607EW0036","KS607EW0037"
"E00004612",77,0,0,2,0,0,1,11,3,6,14,3,3,6,5,4,2,11,6,0,0,2.5974025974026,0,0,1.2987012987013,14.2857142857143,3.8961038961039,7.79220779220779,18.1818181818182,3.8961038961039,3.8961038961039,7.79220779220779,6.49350649350649,5.19480519480519,2.5974025974026,14.2857142857143,7.79220779220779
"E00004613",58,0,0,0,0,0,0,8,0,6,0,2,3,6,5,2,12,8,6,0,0,0,0,0,0,13.7931034482759,0,10.3448275862069,0,3.44827586206897,5.17241379310345,10.3448275862069,8.62068965517241,3.44827586206897,20.6896551724138,13.7931034482759,10.3448275862069
"E00004614",114,0,0,1,0,0,0,21,1,10,7,6,1,21,5,1,15,12,13,0,0,0.87719298245614,0,0,0,18.4210526315789,0.87719298245614,8.7719298245614,6.14035087719298,5.26315789473684,0.87719298245614,18.4210526315789,4.3859649122807,0.87719298245614,13.1578947368421,10.5263157894737,11.4035087719298
"E00004615",57,0,0,3,0,0,0,5,1,3,4,5,1,11,1,2,5,6,10,0,0,5.26315789473684,0,0,0,8.7719298245614,1.75438596491228,5.26315789473684,7.01754385964912,8.7719298245614,1.75438596491228,19.2982456140351,1.75438596491228,3.50877192982456,8.7719298245614,10.5263157894737,17.5438596491228
"E00004616",94,0,0,3,0,0,0,6,3,5,8,7,5,21,3,5,10,9,9,0,0,3.19148936170213,0,0,0,6.38297872340426,3.19148936170213,5.31914893617021,8.51063829787234,7.4468085106383,5.31914893617021,22.3404255319149,3.19148936170213,5.31914893617021,10.6382978723404,9.57446808510638,9.57446808510638
"E00004617",73,0,0,1,0,0,1,7,1,2,4,5,0,23,2,1,9,11,6,0,0,1.36986301369863,0,0,1.36986301369863,9.58904109589041,1.36986301369863,2.73972602739726,5.47945205479452,6.84931506849315,0,31.5068493150685,2.73972602739726,1.36986301369863,12.3287671232877,15.0684931506849,8.21917808219178
"E00004618",73,0,1,1,1,0,0,4,0,1,3,10,0,24,3,3,7,8,7,0,1.36986301369863,1.36986301369863,1.36986301369863,0,0,5.47945205479452,0,1.36986301369863,4.10958904109589,13.6986301369863,0,32.8767123287671,4.10958904109589,4.10958904109589,9.58904109589041,10.958904109589,9.58904109589041
"E00004619",54,0,0,0,0,0,1,3,3,6,7,0,0,9,3,4,7,6,5,0,0,0,0,0,1.85185185185185,5.55555555555556,5.55555555555556,11.1111111111111,12.962962962963,0,0,16.6666666666667,5.55555555555556,7.40740740740741,12.962962962963,11.1111111111111,9.25925925925926
"E00004620",71,0,0,1,0,0,1,6,2,2,8,5,1,10,3,4,9,10,9,0,0,1.40845070422535,0,0,1.40845070422535,8.45070422535211,2.8169014084507,2.8169014084507,11.2676056338028,7.04225352112676,1.40845070422535,14.0845070422535,4.22535211267606,5.63380281690141,12.6760563380282,14.0845070422535,12.6760563380282
"E00004621",77,0,0,2,0,0,1,5,2,5,2,3,0,18,1,4,19,11,4,0,0,2.5974025974026,0,0,1.2987012987013,6.49350649350649,2.5974025974026,6.49350649350649,2.5974025974026,3.8961038961039,0,23.3766233766234,1.2987012987013,5.19480519480519,24.6753246753247,14.2857142857143,5.19480519480519
"E00004622",139,0,1,1,1,0,0,22,1,1,10,10,3,45,5,6,13,11,9,0,0.719424460431655,0.719424460431655,0.719424460431655,0,0,15.8273381294964,0.719424460431655,0.719424460431655,7.19424460431655,7.19424460431655,2.15827338129496,32.3741007194245,3.59712230215827,4.31654676258993,9.35251798561151,7.9136690647482,6.47482014388489
"E00004623",88,0,1,1,0,0,0,16,0,3,8,4,1,20,3,2,10,12,7,0,1.13636363636364,1.13636363636364,0,0,0,18.1818181818182,0,3.40909090909091,9.09090909090909,4.54545454545455,1.13636363636364,22.7272727272727,3.40909090909091,2.27272727272727,11.3636363636364,13.6363636363636,7.95454545454545
"E00004624",89,0,1,4,0,0,1,6,0,6,12,8,5,16,7,2,6,11,4,0,1.12359550561798,4.49438202247191,0,0,1.12359550561798,6.74157303370786,0,6.74157303370786,13.4831460674157,8.98876404494382,5.61797752808989,17.9775280898876,7.86516853932584,2.24719101123596,6.74157303370786,12.3595505617978,4.49438202247191
"E00004625",80,0,0,1,0,0,2,15,0,4,3,8,1,15,0,3,7,14,7,0,0,1.25,0,0,2.5,18.75,0,5,3.75,10,1.25,18.75,0,3.75,8.75,17.5,8.75
"E00004626",92,0,0,0,0,0,0,15,2,7,4,8,4,10,9,1,13,12,7,0,0,0,0,0,0,16.304347826087,2.17391304347826,7.60869565217391,4.34782608695652,8.69565217391304,4.34782608695652,10.8695652173913,9.78260869565217,1.08695652173913,14.1304347826087,13.0434782608696,7.60869565217391
"E00004627",41,0,0,0,0,0,0,5,0,2,2,3,2,3,1,2,8,11,2,0,0,0,0,0,0,12.1951219512195,0,4.8780487804878,4.8780487804878,7.31707317073171,4.8780487804878,7.31707317073171,2.4390243902439,4.8780487804878,19.5121951219512,26.8292682926829,4.8780487804878
"E00004628",29,0,0,0,0,0,1,3,1,3,0,1,0,0,0,2,6,8,4,0,0,0,0,0,3.44827586206897,10.3448275862069,3.44827586206897,10.3448275862069,0,3.44827586206897,0,0,0,6.89655172413793,20.6896551724138,27.5862068965517,13.7931034482759
"E00004629",72,0,0,2,0,0,0,4,0,3,7,7,2,17,3,1,13,7,6,0,0,2.77777777777778,0,0,0,5.55555555555556,0,4.16666666666667,9.72222222222222,9.72222222222222,2.77777777777778,23.6111111111111,4.16666666666667,1.38888888888889,18.0555555555556,9.72222222222222,8.33333333333333
"E00004630",75,0,0,0,0,0,0,6,1,4,11,6,2,12,0,1,14,10,8,0,0,0,0,0,0,8,1.33333333333333,5.33333333333333,14.6666666666667,8,2.66666666666667,16,0,1.33333333333333,18.6666666666667,13.3333333333333,10.6666666666667
"E00004631",47,0,0,2,0,0,0,9,0,3,4,2,0,9,2,5,6,5,0,0,0,4.25531914893617,0,0,0,19.1489361702128,0,6.38297872340426,8.51063829787234,4.25531914893617,0,19.1489361702128,4.25531914893617,10.6382978723404,12.7659574468085,10.6382978723404,0
"E00004632",34,0,0,0,0,0,0,7,2,5,0,0,0,5,2,1,6,2,4,0,0,0,0,0,0,20.5882352941176,5.88235294117647,14.7058823529412,0,0,0,14.7058823529412,5.88235294117647,2.94117647058824,17.6470588235294,5.88235294117647,11.7647058823529
"E00004633",38,0,0,1,0,0,0,12,0,2,1,2,0,3,2,2,6,5,2,0,0,2.63157894736842,0,0,0,31.5789473684211,0,5.26315789473684,2.63157894736842,5.26315789473684,0,7.89473684210526,5.26315789473684,5.26315789473684,15.7894736842105,13.1578947368421,5.26315789473684
"E00004634",88,0,0,1,0,0,4,8,0,2,9,11,0,20,2,4,7,15,5,0,0,1.13636363636364,0,0,4.54545454545455,9.09090909090909,0,2.27272727272727,10.2272727272727,12.5,0,22.7272727272727,2.27272727272727,4.54545454545455,7.95454545454545,17.0454545454545,5.68181818181818
"E00004635",50,0,0,1,0,0,2,9,1,5,3,2,2,5,2,1,8,9,0,0,0,2,0,0,4,18,2,10,6,4,4,10,4,2,16,18,0
"E00004636",57,1,0,3,0,0,1,10,0,9,0,0,2,3,1,2,14,9,2,1.75438596491228,0,5.26315789473684,0,0,1.75438596491228,17.5438596491228,0,15.7894736842105,0,0,3.50877192982456,5.26315789473684,1.75438596491228,3.50877192982456,24.5614035087719,15.7894736842105,3.50877192982456
"E00004637",40,0,0,0,0,0,1,11,0,2,0,0,2,1,1,3,6,7,6,0,0,0,0,0,2.5,27.5,0,5,0,0,5,2.5,2.5,7.5,15,17.5,15
"E00004638",93,0,0,1,0,0,0,16,1,1,12,3,0,18,4,3,15,13,6,0,0,1.0752688172043,0,0,0,17.2043010752688,1.0752688172043,1.0752688172043,12.9032258064516,3.2258064516129,0,19.3548387096774,4.3010752688172,3.2258064516129,16.1290322580645,13.9784946236559,6.45161290322581
"E00004639",49,0,0,0,0,0,1,4,2,4,2,3,0,11,1,1,10,6,4,0,0,0,0,0,2.04081632653061,8.16326530612245,4.08163265306122,8.16326530612245,4.08163265306122,6.12244897959184,0,22.4489795918367,2.04081632653061,2.04081632653061,20.4081632653061,12.2448979591837,8.16326530612245
"E00004640",84,0,0,2,0,0,0,5,4,6,8,2,2,12,8,2,14,12,7,0,0,2.38095238095238,0,0,0,5.95238095238095,4.76190476190476,7.14285714285714,9.52380952380952,2.38095238095238,2.38095238095238,14.2857142857143,9.52380952380952,2.38095238095238,16.6666666666667,14.2857142857143,8.33333333333333
"E00004641",54,0,0,0,0,0,1,8,2,6,1,0,3,4,3,0,10,13,3,0,0,0,0,0,1.85185185185185,14.8148148148148,3.7037037037037,11.1111111111111,1.85185185185185,0,5.55555555555556,7.40740740740741,5.55555555555556,0,18.5185185185185,24.0740740740741,5.55555555555556
"E00004642",51,0,0,1,0,0,3,7,2,5,0,0,1,4,3,2,12,10,1,0,0,1.96078431372549,0,0,5.88235294117647,13.7254901960784,3.92156862745098,9.80392156862745,0,0,1.96078431372549,7.84313725490196,5.88235294117647,3.92156862745098,23.5294117647059,19.6078431372549,1.96078431372549
"E00004643",85,0,0,1,0,0,0,12,2,3,8,6,0,12,7,1,6,17,10,0,0,1.17647058823529,0,0,0,14.1176470588235,2.35294117647059,3.52941176470588,9.41176470588235,7.05882352941176,0,14.1176470588235,8.23529411764706,1.17647058823529,7.05882352941176,20,11.7647058823529
"E00004644",63,0,0,1,0,0,0,11,0,3,3,4,1,7,4,3,8,7,11,0,0,1.58730158730159,0,0,0,17.4603174603175,0,4.76190476190476,4.76190476190476,6.34920634920635,1.58730158730159,11.1111111111111,6.34920634920635,4.76190476190476,12.6984126984127,11.1111111111111,17.4603174603175
"E00004645",43,0,0,1,1,0,2,7,0,3,1,3,0,9,1,0,4,4,7,0,0,2.32558139534884,2.32558139534884,0,4.65116279069767,16.2790697674419,0,6.97674418604651,2.32558139534884,6.97674418604651,0,20.9302325581395,2.32558139534884,0,9.30232558139535,9.30232558139535,16.2790697674419
"E00004646",43,0,0,1,0,0,0,4,1,4,0,6,0,8,2,2,6,5,4,0,0,2.32558139534884,0,0,0,9.30232558139535,2.32558139534884,9.30232558139535,0,13.953488372093,0,18.6046511627907,4.65116279069767,4.65116279069767,13.953488372093,11.6279069767442,9.30232558139535
"E00004647",87,0,0,2,0,0,0,7,1,7,8,6,3,12,1,6,4,19,11,0,0,2.29885057471264,0,0,0,8.04597701149425,1.14942528735632,8.04597701149425,9.19540229885057,6.89655172413793,3.44827586206897,13.7931034482759,1.14942528735632,6.89655172413793,4.59770114942529,21.8390804597701,12.6436781609195
"E00004649",45,0,0,0,0,0,1,4,0,3,5,2,1,6,1,3,10,4,5,0,0,0,0,0,2.22222222222222,8.88888888888889,0,6.66666666666667,11.1111111111111,4.44444444444444,2.22222222222222,13.3333333333333,2.22222222222222,6.66666666666667,22.2222222222222,8.88888888888889,11.1111111111111
