"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01000873",1639,990,71,0,35,17,9,30,4,43,12,11,10,5,23,24,2,14,5,0,0,2,0,1,28,2,1,0,0,9,0,1,0,7,1,2,0,2,1,1,1,4,4,1,0,0,0,35,3,10,4,0,24,3,20,5,0,2,4,0,8,3,1,0,0,0,0,7,18,12,0,61,0,10,0,0,1,0,10,0,0,10,0,0,2,9,0,0,1,1,2,0,0,0,0
"E01000874",1559,713,41,1,45,7,2,34,7,82,21,7,38,4,37,9,0,40,5,0,0,0,0,1,34,8,0,0,3,1,0,9,0,4,0,0,0,1,0,4,0,12,1,0,1,1,0,53,1,14,2,0,31,8,33,16,0,1,1,0,13,1,0,1,0,2,0,6,55,15,8,96,1,2,0,0,6,0,0,0,1,7,0,0,0,8,0,0,0,1,0,0,2,0,1
"E01000875",1654,666,59,2,53,33,13,24,3,65,20,32,28,0,61,56,5,41,3,10,0,3,0,0,32,8,0,0,0,12,0,0,1,1,0,3,1,0,0,0,0,9,0,0,1,1,0,57,8,21,1,0,24,1,30,7,1,4,1,1,18,1,2,0,3,0,0,4,25,26,13,81,1,24,1,0,4,0,10,0,0,18,1,0,4,7,0,0,0,2,2,4,1,0,0
"E01000876",1748,629,121,5,32,44,26,31,6,45,14,78,26,2,190,32,6,56,3,12,0,9,1,0,24,6,0,0,0,20,0,2,0,6,2,0,0,2,0,0,0,5,1,0,1,0,0,34,14,9,0,0,14,0,17,9,0,5,19,4,20,0,1,1,0,0,1,1,17,6,14,59,1,12,2,0,5,0,30,2,0,5,0,0,0,6,0,0,3,0,0,0,0,0,0
"E01000877",1574,841,47,1,55,19,7,28,3,36,14,1,29,7,36,10,3,28,8,11,0,5,0,0,33,5,0,0,0,12,0,0,0,2,0,1,0,0,0,5,1,11,5,0,0,0,0,65,5,4,4,0,15,8,40,11,0,6,1,6,5,0,0,0,0,2,0,3,22,16,3,66,1,10,0,0,3,0,2,0,0,6,0,0,3,1,0,0,0,0,0,0,1,1,0
"E01000878",1624,721,42,0,60,13,10,48,4,110,26,15,49,2,53,18,0,23,14,1,0,0,0,0,13,5,3,0,11,2,0,5,0,2,3,0,0,0,0,2,0,17,0,0,0,0,0,38,6,5,0,0,36,11,20,20,0,7,4,0,6,1,0,1,2,3,1,3,33,11,9,86,0,17,0,0,0,0,0,0,1,13,0,0,0,10,0,1,2,0,4,1,0,0,0
"E01000879",1458,759,37,0,35,8,9,34,7,44,4,1,24,4,17,13,0,15,9,0,0,0,0,0,24,0,0,0,0,8,0,0,3,4,0,0,0,0,0,2,0,17,5,0,2,0,0,50,5,10,3,0,20,4,25,20,0,3,0,0,13,2,0,0,3,0,0,0,53,14,7,108,1,8,0,0,2,0,0,0,0,6,0,4,5,4,0,0,0,1,2,0,0,0,0
"E01000880",1602,680,21,1,54,15,8,34,10,81,8,7,47,5,22,18,1,17,6,0,0,2,1,0,26,2,1,0,1,0,0,0,0,5,0,0,0,0,0,13,0,22,0,0,0,1,0,65,16,18,4,0,43,17,44,18,0,4,0,1,8,1,1,0,0,1,0,3,71,15,5,124,0,17,0,0,3,0,0,0,0,4,0,0,1,3,0,0,0,3,1,2,0,0,0
"E01000881",1510,573,31,1,65,11,7,33,3,48,26,33,73,3,34,41,0,11,0,0,0,1,0,1,12,1,0,0,0,7,0,3,0,2,0,0,0,0,2,48,2,12,4,0,0,1,0,38,12,11,2,0,25,9,43,26,0,10,7,1,13,1,0,0,6,1,1,1,39,25,4,109,0,15,0,0,1,0,1,0,0,6,0,0,7,2,0,0,1,0,1,2,0,1,0
"E01000882",1513,698,39,0,71,5,9,27,5,49,8,5,29,2,24,9,0,13,2,8,0,5,0,3,33,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,21,0,0,1,0,0,56,7,16,3,0,17,10,25,20,0,4,1,0,15,7,0,0,1,0,0,1,58,13,3,132,0,17,3,0,2,0,0,0,0,6,0,0,10,10,0,1,0,0,1,0,0,0,0
