"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E01000895",1630,646,18,16,118,40,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,413,2,2,0,0,1,5,0,364
"E01000896",1692,600,12,16,159,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,507,494,3,4,0,0,0,6,0,381
"E01000897",1597,515,21,32,232,41,7,12,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,400,387,1,0,0,0,0,12,0,337
"E01000898",1729,605,10,50,98,134,5,14,0,6,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,368,364,1,3,0,0,0,0,0,445
"E01000899",1667,578,6,11,303,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,374,364,2,1,0,0,2,5,0,370
"E01000900",1801,753,10,9,34,212,1,8,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,458,448,0,2,0,2,0,6,0,316
"E01000901",1977,665,9,22,14,472,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,408,1,2,0,0,0,2,0,374
"E01000902",1451,492,25,7,23,353,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,282,278,0,0,0,0,0,4,0,256
"E01000903",1439,517,12,15,62,129,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,398,394,0,1,0,0,0,3,0,292
"E01000904",2120,757,29,19,42,300,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,566,553,2,7,0,0,1,3,0,395
"E01000905",2044,730,12,8,15,588,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,342,333,1,2,0,0,0,6,0,344
"E01000906",1532,549,16,6,122,87,6,16,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,1,0,0,0,431,421,3,2,0,0,0,5,0,299
"E01000907",1430,562,21,10,18,121,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,468,460,1,0,0,0,2,5,0,221
"E01000908",1581,615,21,8,43,66,0,25,0,3,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,1,435,421,5,2,0,0,1,6,0,368
"E01000909",1614,608,15,6,81,36,3,16,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,551,538,1,2,1,0,1,8,0,298
"E01000910",1472,500,10,2,48,39,3,16,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,1,0,1,0,597,588,1,1,0,0,3,4,0,257
"E01000911",1559,593,15,10,43,119,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,490,482,2,3,0,0,0,3,0,281
"E01000912",1589,598,12,7,21,159,0,14,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,501,490,4,5,0,0,0,2,0,277
"E01000913",1710,634,5,9,206,16,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,470,453,5,2,0,0,4,6,0,364
"E01000914",1762,623,30,29,33,155,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,477,463,5,1,0,0,0,8,0,406
"E01000915",1527,477,11,18,10,425,8,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,289,287,0,1,0,0,1,0,0,286
"E01000916",1796,643,26,22,19,258,3,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,474,468,2,0,0,0,0,4,0,343
"E01000917",1888,658,24,11,8,473,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,339,329,2,2,0,0,2,4,0,363
"E01000918",2090,663,41,24,21,233,2,13,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,509,502,1,3,0,0,1,2,0,584
"E01000919",2014,571,39,48,28,215,12,13,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,528,525,0,2,0,0,0,1,0,560
"E01000920",1946,688,11,14,22,236,3,13,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,512,496,0,3,0,0,2,11,0,447
"E01000921",1966,589,22,2,31,116,0,18,2,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,741,724,3,2,0,2,1,9,0,447
"E01000922",1547,538,11,6,16,150,2,12,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,505,486,5,2,0,1,2,9,0,307
