"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00004163",163,55,20,25,10,62,17,10,35,24,9,12,3,22,13,8,1
"E00004164",160,25,7,6,12,79,32,9,38,18,4,14,0,38,19,16,3
"E00004165",146,27,8,8,11,65,21,13,31,19,10,7,2,35,18,16,1
"E00004166",157,26,4,6,16,77,21,12,44,21,12,5,4,33,20,13,0
"E00004167",99,7,2,1,4,41,1,9,31,21,7,12,2,30,10,18,2
"E00004168",109,24,12,9,3,44,15,17,12,13,10,2,1,28,21,7,0
"E00004169",149,41,16,22,3,59,29,15,15,21,6,14,1,28,19,9,0
"E00004172",148,34,14,18,2,74,44,23,7,25,18,6,1,15,9,6,0
"E00004173",127,36,26,9,1,29,12,11,6,14,10,4,0,48,35,13,0
"E00004174",131,50,9,33,8,44,29,3,12,9,8,0,1,28,22,6,0
"E00004175",128,39,16,20,3,48,30,7,11,18,8,8,2,23,19,3,1
"E00004177",74,34,24,10,0,14,9,2,3,12,11,1,0,14,9,5,0
"E00004179",190,22,6,11,5,53,23,11,19,35,26,7,2,80,58,19,3
"E00004180",128,58,27,30,1,48,17,5,26,6,3,3,0,16,11,5,0
"E00004181",212,22,8,7,7,56,21,18,17,27,17,10,0,107,81,25,1
"E00004182",76,24,9,12,3,30,14,6,10,8,3,4,1,14,13,1,0
"E00004183",106,15,7,5,3,53,24,10,19,20,13,6,1,18,15,3,0
"E00004184",112,27,12,12,3,40,16,12,12,18,12,3,3,27,16,11,0
"E00004185",171,63,24,37,2,79,29,14,36,12,5,6,1,17,13,4,0
"E00004187",226,93,32,58,3,84,42,25,17,23,9,12,2,26,12,12,2
"E00004188",109,55,24,31,0,27,21,3,3,14,13,1,0,13,7,6,0
"E00004189",118,73,17,55,1,29,19,6,4,9,5,3,1,7,4,3,0
"E00004190",384,113,89,24,0,113,89,23,1,75,64,10,1,83,71,12,0
"E00004193",119,59,20,37,2,31,13,12,6,10,5,4,1,19,12,7,0
"E00004194",144,50,19,28,3,59,34,18,7,17,12,5,0,18,14,4,0
"E00004195",133,62,15,45,2,42,15,17,10,10,4,5,1,19,16,3,0
"E00004196",101,27,8,18,1,27,12,7,8,10,4,4,2,37,26,11,0
"E00004197",116,46,14,31,1,30,11,14,5,13,3,9,1,27,17,10,0
"E00004198",182,87,29,57,1,64,38,18,8,12,8,4,0,19,12,7,0
"E00004199",163,63,34,22,7,64,32,22,10,16,9,6,1,20,14,5,1
"E00004200",136,45,23,20,2,62,31,26,5,12,8,4,0,17,13,2,2
"E00004201",144,19,9,6,4,73,33,18,22,18,9,9,0,34,18,16,0
"E00004202",160,2,1,1,0,6,5,0,1,54,53,1,0,98,94,4,0
"E00004203",164,70,24,41,5,59,28,23,8,14,4,10,0,21,9,12,0
"E00004204",149,37,12,22,3,56,20,19,17,17,9,8,0,39,17,21,1
"E00004205",145,48,9,36,3,61,15,18,28,17,5,8,4,19,7,11,1
"E00004206",127,17,4,9,4,53,15,12,26,23,11,8,4,34,18,13,3
"E00004207",128,43,8,22,13,58,16,8,34,8,4,2,2,19,10,8,1
"E00004208",125,45,7,22,16,45,17,7,21,8,2,3,3,27,16,11,0
"E00004209",113,38,8,29,1,41,17,10,14,20,9,9,2,14,6,8,0
"E00004210",126,25,2,9,14,60,22,6,32,20,10,9,1,21,12,9,0
"E00004211",124,53,20,31,2,56,19,21,16,5,2,3,0,10,3,6,1
"E00004212",134,41,14,23,4,52,14,11,27,27,7,18,2,14,7,6,1
"E00004213",167,33,6,17,10,99,33,17,49,17,4,6,7,18,6,10,2
"E00004214",243,91,47,34,10,115,45,23,47,23,7,10,6,14,9,3,2
"E00004215",129,35,14,16,5,53,19,18,16,21,13,7,1,20,12,8,0
"E00004216",146,20,6,12,2,77,39,11,27,21,11,4,6,28,13,14,1
"E00004217",141,38,15,20,3,57,37,11,9,30,13,14,3,16,11,5,0
"E00004218",131,27,3,16,8,50,21,13,16,16,4,9,3,38,21,14,3
"E00004219",190,69,28,30,11,77,42,17,18,21,13,4,4,23,19,3,1
"E00004220",87,7,0,5,2,35,16,8,11,10,6,2,2,35,22,13,0
"E00004221",111,31,7,18,6,42,12,14,16,18,10,5,3,20,14,5,1
"E00004222",109,20,13,7,0,54,22,12,20,17,9,6,2,18,11,6,1
"E00004223",116,20,7,9,4,64,13,30,21,22,9,8,5,10,6,2,2
"E00004224",147,43,22,19,2,63,34,12,17,22,10,8,4,19,11,5,3
"E00004225",195,118,45,71,2,58,30,18,10,12,5,6,1,7,2,4,1
