"GeographyCode","KS205EW0001","KS205EW0002","KS205EW0003","KS205EW0004","KS205EW0005","KS205EW0006","KS205EW0007","KS205EW0008","KS205EW0009","KS205EW0010","KS205EW0011","KS205EW0012","KS205EW0013","KS205EW0014","KS205EW0015","KS205EW0016","KS205EW0017","KS205EW0018","KS205EW0019","KS205EW0020","KS205EW0021","KS205EW0022","KS205EW0023","KS205EW0024","KS205EW0025"
"E01000864",1537,58,1172,53,134,25,24,47,50,0,9,41,0,3.77358490566038,76.2524398178269,3.44827586206897,8.71828236824984,1.62654521795706,1.56148340923878,3.05790500975927,3.25309043591412,0,0.585556278464541,2.66753415744958,0
"E01000865",1505,27,1051,46,174,23,20,143,64,5,4,40,0,1.79401993355482,69.8338870431894,3.05647840531561,11.5614617940199,1.52823920265781,1.32890365448505,9.50166112956811,4.25249169435216,0.332225913621262,0.26578073089701,2.6578073089701,0
"E01000866",2030,130,1494,66,203,20,33,62,64,3,11,40,0,6.40394088669951,73.5960591133005,3.2512315270936,10,0.985221674876847,1.6256157635468,3.05418719211823,3.15270935960591,0.147783251231527,0.541871921182266,1.97044334975369,0
"E01000867",1608,111,1136,47,164,21,18,69,37,1,15,37,0,6.90298507462687,70.6467661691542,2.9228855721393,10.1990049751244,1.30597014925373,1.11940298507463,4.2910447761194,2.30099502487562,0.0621890547263682,0.932835820895522,2.30099502487562,0
"E01000868",1442,144,1100,38,83,6,30,39,18,0,8,10,0,9.98613037447989,76.2829403606103,2.63522884882108,5.75589459084605,0.416088765603329,2.08044382801664,2.70457697642164,1.24826629680999,0,0.554785020804438,0.693481276005548,0
"E01000869",2110,98,1545,81,221,24,30,66,77,1,23,44,2,4.64454976303318,73.2227488151659,3.83886255924171,10.4739336492891,1.13744075829384,1.4218009478673,3.12796208530806,3.64928909952607,0.04739336492891,1.09004739336493,2.08530805687204,0.0947867298578199
"E01000870",1693,117,1307,53,144,9,16,16,43,1,10,36,0,6.91080921441229,77.2002362669817,3.13053750738334,8.50561134081512,0.531600708800945,0.945067926757236,0.945067926757236,2.53987005316007,0.0590667454223272,0.590667454223272,2.12640283520378,0
"E01000871",1664,40,1257,51,168,34,36,58,102,1,11,35,0,2.40384615384615,75.5408653846154,3.06490384615385,10.0961538461538,2.04326923076923,2.16346153846154,3.48557692307692,6.12980769230769,0.0600961538461538,0.661057692307692,2.10336538461538,0
"E01000872",1902,65,1084,114,347,30,29,155,58,1,28,79,0,3.41745531019979,56.9926393270242,5.99369085173502,18.2439537329127,1.57728706624606,1.52471083070452,8.14931650893796,3.04942166140904,0.0525762355415352,1.47213459516299,4.15352260778128,0
"E01000873",1639,44,1241,62,169,22,15,40,66,1,12,48,0,2.68456375838926,75.7169005491153,3.78279438682123,10.3111653447224,1.34228187919463,0.915192190359976,2.4405125076266,4.02684563758389,0.061012812690665,0.732153752287981,2.92861500915192,0
"E01000874",1559,21,1058,36,224,35,32,118,147,4,7,65,0,1.3470173187941,67.8640153944836,2.30917254650417,14.3681847338037,2.24502886465683,2.05259781911482,7.56895445798589,9.42912123155869,0.256574727389352,0.449005772931366,4.16933932007697,0
"E01000875",1654,70,1076,52,281,20,29,82,43,3,22,48,0,4.23216444981862,65.0544135429262,3.14389359129383,16.9891172914148,1.20918984280532,1.75332527206771,4.95767835550181,2.59975816203144,0.181378476420798,1.33010882708585,2.90205562273277,0
"E01000876",1748,119,1190,96,161,16,37,70,39,3,17,62,0,6.80778032036613,68.0778032036613,5.49199084668192,9.21052631578947,0.91533180778032,2.11670480549199,4.0045766590389,2.23112128146453,0.17162471395881,0.97254004576659,3.54691075514874,0
"E01000877",1574,57,1078,51,215,35,37,89,66,0,9,55,0,3.62134688691233,68.4879288437103,3.24015247776366,13.6594663278272,2.22363405336722,2.35069885641677,5.65438373570521,4.19313850063532,0,0.571791613722999,3.49428208386277,0
"E01000878",1624,32,1080,34,189,27,44,173,103,0,13,39,0,1.97044334975369,66.5024630541872,2.0935960591133,11.6379310344828,1.66256157635468,2.70935960591133,10.6527093596059,6.3423645320197,0,0.800492610837439,2.40147783251231,0
"E01000879",1458,29,947,42,197,38,18,115,152,2,18,44,0,1.98902606310014,64.9519890260631,2.88065843621399,13.5116598079561,2.60631001371742,1.23456790123457,7.88751714677641,10.4252400548697,0.137174211248285,1.23456790123457,3.01783264746228,0
"E01000880",1602,26,988,31,303,27,24,144,177,1,11,47,0,1.62297128589263,61.6729088639201,1.93508114856429,18.9138576779026,1.68539325842697,1.49812734082397,8.98876404494382,11.0486891385768,0.0624219725343321,0.686641697877653,2.93383270911361,0
"E01000881",1510,34,824,25,240,33,21,157,224,3,17,49,0,2.25165562913907,54.5695364238411,1.65562913907285,15.8940397350993,2.18543046357616,1.39072847682119,10.3973509933775,14.8344370860927,0.198675496688742,1.12582781456954,3.24503311258278,0
"E01000882",1513,11,948,34,282,36,29,79,168,5,23,62,0,0.727032385988103,62.6569729015202,2.24719101123596,18.6384666226041,2.37937871777925,1.91672174487773,5.22141440846001,11.1037673496365,0.330469266358229,1.52015862524785,4.09781890284204,0
"E01000883",1326,22,733,26,205,38,31,204,87,2,19,66,0,1.65912518853695,55.2790346907994,1.96078431372549,15.4600301659125,2.8657616892911,2.33785822021116,15.3846153846154,6.56108597285068,0.150829562594268,1.43288084464555,4.97737556561086,0
"E01000884",1469,21,1064,23,173,35,22,79,163,8,12,28,1,1.42954390742001,72.430224642614,1.56569094622192,11.7767188563649,2.38257317903336,1.49761742682097,5.37780803267529,11.0959836623553,0.544588155207624,0.816882232811436,1.90605854322668,0.068073519400953
"E01000885",1484,87,969,41,158,49,20,151,115,2,8,30,0,5.86253369272237,65.2964959568733,2.76280323450135,10.6469002695418,3.30188679245283,1.34770889487871,10.1752021563342,7.74932614555256,0.134770889487871,0.539083557951483,2.02156334231806,0
"E01000886",1445,56,1095,29,166,10,13,36,74,0,10,53,0,3.87543252595156,75.7785467128028,2.00692041522491,11.4878892733564,0.69204152249135,0.899653979238754,2.49134948096886,5.12110726643599,0,0.69204152249135,3.66782006920415,0
"E01000887",1486,62,1032,40,174,19,17,63,65,4,19,70,0,4.17227456258412,69.4481830417227,2.69179004037685,11.7092866756393,1.278600269179,1.14401076716016,4.23956931359354,4.37415881561238,0.269179004037685,1.278600269179,4.71063257065949,0
"E01000888",1605,68,1221,36,149,16,13,46,90,0,16,56,0,4.23676012461059,76.0747663551402,2.24299065420561,9.28348909657321,0.996884735202492,0.809968847352025,2.86604361370716,5.60747663551402,0,0.996884735202492,3.48909657320872,0
"E01000889",1670,168,1249,57,119,7,23,44,26,0,17,10,0,10.059880239521,74.7904191616767,3.41317365269461,7.12574850299401,0.419161676646707,1.37724550898204,2.63473053892216,1.55688622754491,0,1.01796407185629,0.598802395209581,0
"E01000890",1640,207,1165,54,120,10,33,52,22,0,23,13,0,12.6219512195122,71.0365853658537,3.29268292682927,7.31707317073171,0.609756097560976,2.01219512195122,3.17073170731707,1.34146341463415,0,1.40243902439024,0.792682926829268,0
"E01000891",1575,167,1168,45,98,12,26,32,13,2,20,33,0,10.6031746031746,74.1587301587302,2.85714285714286,6.22222222222222,0.761904761904762,1.65079365079365,2.03174603174603,0.825396825396825,0.126984126984127,1.26984126984127,2.0952380952381,0
"E01000892",1843,82,1331,42,207,27,18,74,108,2,8,53,0,4.44926749864352,72.2192078133478,2.27889310906131,11.2316874660879,1.46500271296799,0.976668475311991,4.01519262072707,5.86001085187195,0.10851871947911,0.434074877916441,2.87574606619642,0
"E01000893",1566,42,1122,28,190,33,13,31,123,2,17,102,0,2.68199233716475,71.6475095785441,1.78799489144317,12.1328224776501,2.10727969348659,0.830140485312899,1.97956577266922,7.8544061302682,0.127713920817369,1.08556832694764,6.51340996168582,0
"E01000894",1389,25,952,17,176,22,15,80,172,0,5,83,0,1.79985601151908,68.5385169186465,1.22390208783297,12.6709863210943,1.58387329013679,1.07991360691145,5.75953923686105,12.3830093592513,0,0.359971202303816,5.97552195824334,0
"E01000895",1630,58,1059,36,270,16,23,75,135,2,13,45,0,3.55828220858896,64.9693251533742,2.20858895705521,16.5644171779141,0.98159509202454,1.41104294478528,4.60122699386503,8.28220858895705,0.122699386503067,0.797546012269939,2.76073619631902,0
"E01000896",1692,40,1198,29,203,17,21,53,182,3,16,67,0,2.36406619385343,70.8037825059102,1.71394799054374,11.9976359338061,1.00472813238771,1.24113475177305,3.13238770685579,10.7565011820331,0.177304964539007,0.945626477541371,3.95981087470449,0
"E01000897",1597,27,1032,46,251,27,21,112,185,2,14,72,0,1.69067000626174,64.6211646837821,2.88040075140889,15.7169693174703,1.69067000626174,1.3149655604258,7.01314965560426,11.5842204132749,0.125234815278647,0.876643706950532,4.50845335003131,0
"E01000898",1729,85,1149,56,191,32,55,185,53,1,13,31,0,4.91613649508386,66.4545980335454,3.23886639676113,11.0468478889532,1.85078079814922,3.18102949681897,10.6998264893002,3.06535569693464,0.0578368999421631,0.75187969924812,1.79294389820706,0
"E01000899",1667,39,1228,31,169,21,23,55,203,0,7,52,0,2.33953209358128,73.6652669466107,1.85962807438512,10.1379724055189,1.25974805038992,1.37972405518896,3.29934013197361,12.1775644871026,0,0.419916016796641,3.11937612477504,0
"E01000900",1801,120,1400,62,124,9,21,22,30,2,11,49,0,6.66296501943365,77.7345918933926,3.44253192670738,6.88506385341477,0.499722376457524,1.16601887840089,1.22154358689617,1.66574125485841,0.111049416990561,0.610771793448084,2.72071071626874,0
"E01000901",1977,168,1416,54,132,13,32,132,37,1,18,13,0,8.49772382397572,71.6236722306525,2.73141122913505,6.67678300455235,0.65756196256955,1.61861406170966,6.67678300455235,1.8715225088518,0.0505816894284269,0.910470409711684,0.65756196256955,0
"E01000902",1451,142,1105,27,89,5,29,56,28,0,20,8,0,9.78635423845624,76.1543762922123,1.86078566505858,6.13370089593384,0.344589937973811,1.9986216402481,3.85940730530668,1.92970365265334,0,1.37835975189524,0.551343900758098,0
"E01000903",1439,56,1059,35,156,29,18,39,57,0,15,44,0,3.8915913829048,73.5927727588603,2.4322446143155,10.8408617095205,2.01528839471855,1.25086865879083,2.71021542738013,3.96108408617095,0,1.04239054899236,3.05767894371091,0
"E01000904",2120,163,1566,57,175,9,24,75,52,0,21,37,0,7.68867924528302,73.8679245283019,2.68867924528302,8.25471698113208,0.424528301886792,1.13207547169811,3.5377358490566,2.45283018867925,0,0.990566037735849,1.74528301886792,0
"E01000905",2044,229,1456,73,153,13,35,63,33,0,18,12,0,11.2035225048924,71.2328767123288,3.57142857142857,7.4853228962818,0.63600782778865,1.71232876712329,3.08219178082192,1.61448140900196,0,0.880626223091976,0.587084148727984,0
"E01000906",1532,36,1116,46,176,18,20,57,103,2,5,62,1,2.34986945169713,72.845953002611,3.00261096605744,11.4882506527415,1.17493472584856,1.30548302872063,3.72062663185379,6.72323759791123,0.130548302872063,0.326370757180157,4.04699738903394,0.0652741514360313
