"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01000871",1664,109,50,38,102,13,30,20,99,192,404,332,93,97,60,14,11,6.55048076923077,3.00480769230769,2.28365384615385,6.12980769230769,0.78125,1.80288461538462,1.20192307692308,5.94951923076923,11.5384615384615,24.2788461538462,19.9519230769231,5.58894230769231,5.82932692307692,3.60576923076923,0.841346153846154,0.661057692307692
"E01000872",1902,94,35,26,72,7,29,29,141,358,642,296,65,63,32,8,5,4.94216614090431,1.84016824395373,1.36698212407992,3.78548895899054,0.368033648790747,1.52471083070452,1.52471083070452,7.41324921135647,18.8222923238696,33.7539432176656,15.5625657202944,3.41745531019979,3.31230283911672,1.68243953732913,0.420609884332282,0.262881177707676
"E01000873",1639,113,47,25,54,14,23,38,97,238,488,244,87,102,50,13,6,6.89444783404515,2.86760219646126,1.52532031726663,3.29469188529591,0.854179377669311,1.4032946918853,2.31848688224527,5.91824283099451,14.5210494203783,29.7742525930445,14.8871262965223,5.30811470408786,6.22330689444783,3.05064063453325,0.793166564978645,0.36607687614399
"E01000874",1559,111,45,23,41,7,24,20,104,175,533,198,68,123,60,17,10,7.11994868505452,2.88646568313021,1.47530468248877,2.62989095574086,0.449005772931366,1.53944836433611,1.28287363694676,6.67094291212315,11.2251443232842,34.1885824246312,12.7004490057729,4.36177036561899,7.88967286722258,3.84862091084028,1.09044259140475,0.64143681847338
"E01000875",1654,75,38,19,51,18,39,35,164,301,525,185,61,84,38,19,2,4.53446191051995,2.29746070133011,1.14873035066505,3.08343409915357,1.08827085852479,2.35792019347037,2.11608222490931,9.91535671100363,18.1983071342201,31.7412333736397,11.1850060459492,3.68802902055623,5.07859733978235,2.29746070133011,1.14873035066505,0.120918984280532
"E01000876",1748,103,61,37,99,21,27,39,150,226,471,269,78,99,53,7,8,5.89244851258581,3.48970251716247,2.11670480549199,5.66361556064073,1.20137299771167,1.54462242562929,2.23112128146453,8.5812356979405,12.929061784897,26.9450800915332,15.3890160183066,4.46224256292906,5.66361556064073,3.03203661327231,0.40045766590389,0.45766590389016
"E01000877",1574,120,37,20,36,5,25,18,105,245,520,222,69,92,43,10,7,7.62388818297332,2.35069885641677,1.27064803049555,2.28716645489199,0.317662007623888,1.58831003811944,1.143583227446,6.67090216010165,15.5654383735705,33.0368487928844,14.1041931385006,4.38373570520966,5.84498094027954,2.73189326556544,0.635324015247776,0.444726810673443
"E01000878",1624,82,31,19,46,14,22,212,194,150,348,177,82,104,93,33,17,5.04926108374384,1.90886699507389,1.16995073891626,2.83251231527094,0.862068965517241,1.35467980295567,13.0541871921182,11.9458128078818,9.23645320197044,21.4285714285714,10.8990147783251,5.04926108374384,6.40394088669951,5.72660098522167,2.0320197044335,1.04679802955665
"E01000879",1458,105,55,22,47,9,25,81,124,104,381,236,63,105,78,9,14,7.20164609053498,3.77229080932785,1.50891632373114,3.2235939643347,0.617283950617284,1.71467764060357,5.55555555555556,8.50480109739369,7.13305898491084,26.1316872427983,16.1865569272977,4.32098765432099,7.20164609053498,5.34979423868313,0.617283950617284,0.960219478737997
"E01000880",1602,156,67,46,110,11,24,24,36,103,478,287,66,86,65,24,19,9.73782771535581,4.18227215980025,2.87141073657928,6.86641697877653,0.686641697877653,1.49812734082397,1.49812734082397,2.24719101123596,6.4294631710362,29.8377028714107,17.9151061173533,4.11985018726592,5.36828963795256,4.05742821473159,1.49812734082397,1.18601747815231
"E01000881",1510,96,38,22,116,5,12,33,125,203,412,257,38,82,52,15,4,6.35761589403973,2.51655629139073,1.45695364238411,7.68211920529801,0.33112582781457,0.794701986754967,2.18543046357616,8.27814569536424,13.4437086092715,27.2847682119205,17.0198675496689,2.51655629139073,5.43046357615894,3.44370860927152,0.993377483443709,0.264900662251656
"E01000882",1513,95,50,33,60,6,15,7,61,171,509,264,63,108,58,8,5,6.27891606080634,3.30469266358229,2.18109715796431,3.96563119629874,0.396563119629874,0.991407799074686,0.46265697290152,4.03172504957039,11.3020489094514,33.6417713152677,17.4487772637145,4.16391275611368,7.13813615333774,3.83344348975545,0.528750826173166,0.330469266358229
"E01000883",1326,87,27,21,43,4,13,16,95,209,456,145,49,82,48,18,13,6.56108597285068,2.03619909502262,1.58371040723982,3.24283559577677,0.301659125188537,0.980392156862745,1.20663650075415,7.16440422322775,15.7616892911011,34.3891402714932,10.9351432880845,3.69532428355958,6.18401206636501,3.61990950226244,1.35746606334842,0.980392156862745
"E01000884",1469,117,64,36,104,16,32,24,69,92,377,273,81,108,53,20,3,7.9646017699115,4.35670524166099,2.45064669843431,7.07964601769912,1.08917631041525,2.1783526208305,1.63376446562287,4.69707283866576,6.26276378488768,25.6637168141593,18.5840707964602,5.51395507147719,7.35194009530293,3.60789652825051,1.36147038801906,0.204220558202859
