"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E00004764",240,231,9,0
"E00004765",242,242,0,0
"E00004766",234,234,0,0
"E00004767",296,296,0,0
"E00004768",220,220,0,0
"E00004769",275,275,0,0
"E00004770",204,200,4,0
"E00004771",310,310,0,0
"E00004772",273,273,0,0
"E00004773",251,251,0,0
"E00004774",206,206,0,0
"E00004775",267,267,0,0
"E00004776",310,310,0,0
"E00004777",301,301,0,0
"E00004778",254,220,34,0
"E00004779",299,299,0,0
"E00004780",276,276,0,0
"E00004781",297,297,0,0
"E00004782",253,253,0,0
"E00004783",311,311,0,0
"E00004784",264,264,0,0
"E00004785",288,288,0,0
"E00004786",194,194,0,0
"E00004787",281,281,0,0
"E00004788",249,249,0,0
"E00004789",234,234,0,0
"E00004790",245,245,0,0
"E00004791",238,238,0,0
"E00004792",267,267,0,0
"E00004793",252,252,0,0
"E00004794",521,521,0,0
"E00004795",251,251,0,0
"E00004796",263,263,0,0
"E00004797",336,336,0,0
"E00004798",242,242,0,0
"E00004799",306,306,0,0
"E00004801",286,286,0,0
"E00004802",229,229,0,0
"E00004803",153,153,0,0
"E00004804",219,219,0,0
"E00004805",226,226,0,0
"E00004806",256,256,0,0
"E00004807",246,246,0,0
"E00004808",230,230,0,0
"E00004809",253,253,0,0
"E00004810",295,295,0,0
"E00004811",270,270,0,0
"E00004812",358,358,0,0
"E00004813",374,374,0,0
"E00004814",209,209,0,0
"E00004815",512,512,0,0
"E00004816",245,245,0,0
"E00004817",258,258,0,0
"E00004818",202,202,0,0
"E00004819",335,335,0,0
"E00004820",292,292,0,0
"E00004821",191,191,0,0
"E00004822",350,350,0,0
"E00004823",387,387,0,0
"E00004824",218,218,0,0
"E00004825",201,201,0,0
"E00004826",235,235,0,0
"E00004827",344,344,0,0
"E00004828",273,273,0,0
"E00004829",238,238,0,0
"E00004830",304,304,0,0
"E00004831",255,255,0,0
"E00004832",342,342,0,0
"E00004833",331,331,0,0
"E00004834",442,437,5,0
"E00004835",327,325,2,0
"E00004836",335,335,0,0
"E00004837",400,400,0,0
"E00004838",258,258,0,0
"E00004839",341,341,0,0
"E00004840",236,236,0,0
"E00004841",276,276,0,0
"E00004842",266,266,0,0
"E00004843",206,206,0,0
"E00004844",276,276,0,0
"E00004845",240,240,0,0
"E00004846",279,279,0,0
"E00004847",238,237,1,0
"E00004848",327,327,0,0
"E00004849",286,286,0,0
"E00004850",446,446,0,0
"E00004851",188,188,0,0
"E00004852",290,290,0,0
"E00004853",307,307,0,0
"E00174649",362,293,69,0
"E00174650",454,145,309,0
"E00174651",591,162,429,0
"E00174652",168,168,0,0
"E00174653",479,334,145,0
"E00174654",541,257,284,0
"E00174655",269,269,0,0
"E00174656",222,222,0,0
"E00174657",263,263,0,0
"E00174658",173,161,12,0
"E00174659",331,326,5,0
"E00174660",134,134,0,0
"E00174661",612,271,341,0
"E00174662",121,120,1,0
"E00174663",144,144,0,0
"E00174664",123,123,0,0
"E00174665",260,260,0,0
"E00174666",155,155,0,0
"E00174667",220,216,4,0
