"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E01000889",1670,24,12,23,17,25,22,17,24,26,21,23,23,27,28,29,25,22,28,24,28,32,28,33,30,25,30,33,23,33,26,24,33,28,25,36,30,13,12,24,22,25,23,25,18,26,24,20,31,21,19,20,16,16,16,27,17,22,17,12,23,16,18,14,11,9,8,13,8,7,11,7,10,12,3,9,6,6,4,4,5,10,8,8,4,5,6,5,3,2,2,2,2,2,4,0,0,0,0,0,0,0
"E01000890",1640,21,16,21,20,16,18,19,22,22,24,18,17,16,27,21,21,23,24,25,17,20,20,29,22,16,30,21,21,23,25,20,20,27,18,26,13,16,17,27,20,24,20,15,20,28,29,23,29,25,13,32,17,24,21,29,31,31,20,10,19,11,11,17,13,17,5,13,11,13,9,21,17,14,15,19,12,17,8,7,12,6,8,9,9,13,2,8,8,3,5,2,3,0,0,0,1,0,0,0,1,1
"E01000891",1575,25,16,24,20,16,28,19,22,18,14,26,24,23,23,19,24,25,22,18,24,31,29,28,26,30,42,36,28,42,38,23,32,24,23,30,19,20,29,13,14,16,20,22,15,22,15,20,24,20,19,23,14,15,22,15,11,11,13,13,10,13,10,16,10,11,7,11,11,12,15,9,8,7,5,7,11,5,7,2,5,3,9,5,3,9,6,6,1,10,4,3,0,2,1,0,1,0,0,0,2,1
"E01000892",1843,26,28,33,27,34,25,19,25,17,19,20,10,19,23,14,23,18,16,13,14,12,17,27,25,23,39,33,25,21,38,38,48,24,32,41,49,45,30,30,33,27,46,34,27,33,18,27,29,16,24,19,19,29,24,20,14,22,16,19,7,12,14,13,23,11,15,17,14,25,15,6,17,12,8,9,6,13,8,2,10,11,5,9,5,4,8,3,7,2,5,1,4,3,1,1,0,0,1,0,0,0
"E01000893",1566,21,28,18,14,16,17,13,15,11,10,17,24,15,17,15,14,18,12,7,4,2,6,14,16,14,27,20,28,34,34,26,26,31,37,28,29,39,22,18,31,27,27,22,32,36,21,22,24,24,22,25,23,29,20,10,14,22,21,13,24,11,26,10,16,17,8,17,16,8,10,19,8,20,17,10,8,16,6,8,14,7,5,8,6,1,7,1,4,4,2,1,5,0,2,0,1,0,1,0,0,0
"E01000894",1389,24,25,20,25,20,18,21,11,16,9,18,11,16,12,7,6,9,11,7,5,8,9,8,10,16,15,13,14,23,20,22,18,33,26,33,27,28,41,39,35,24,24,30,24,18,15,19,20,20,17,13,20,16,15,13,18,10,17,19,12,18,14,13,9,19,12,20,22,5,16,8,16,8,5,15,11,7,11,1,7,6,9,6,5,7,3,3,4,3,4,3,2,0,0,0,4,0,0,0,0,0
"E01000895",1630,12,15,27,21,16,23,35,19,14,9,13,9,6,11,12,9,7,9,8,15,9,7,13,20,13,19,26,30,42,40,36,40,40,36,31,28,34,36,32,34,22,25,49,33,27,11,27,20,17,11,20,13,16,8,10,11,23,17,11,17,22,13,20,28,12,21,17,7,10,11,11,9,10,7,10,20,14,7,6,15,7,17,9,13,12,6,10,4,7,5,1,6,11,1,2,1,3,1,0,0,0
"E01000896",1692,20,31,13,27,23,19,22,18,17,19,12,16,20,18,11,15,13,9,5,5,11,7,7,18,17,14,24,30,28,40,44,31,37,32,23,30,31,26,35,34,28,35,36,24,30,19,28,31,29,25,26,19,18,20,16,16,12,15,15,15,20,13,15,14,22,16,20,17,26,13,26,11,9,10,15,11,11,9,8,7,9,8,6,8,8,4,8,6,10,4,5,2,3,3,4,0,0,2,0,0,0
"E01000897",1597,28,33,17,27,28,30,17,21,22,16,16,15,13,9,10,10,5,17,6,8,4,7,8,8,9,15,21,22,30,26,32,22,43,30,37,44,27,38,41,33,31,35,25,33,24,29,21,26,23,19,20,10,16,13,18,13,13,19,23,13,24,15,15,11,20,11,15,14,14,12,9,9,12,7,16,11,6,8,8,8,6,6,11,7,5,6,11,1,8,3,3,3,1,1,1,1,6,2,0,1,0
"E01000898",1729,51,11,19,17,18,20,11,18,11,11,9,18,15,7,11,10,7,7,9,9,16,13,22,37,28,44,39,41,33,58,54,71,43,49,46,42,45,43,40,44,29,29,26,18,24,41,15,12,14,15,14,18,8,15,18,10,11,7,21,11,15,20,16,11,14,19,9,12,5,8,8,11,10,7,16,9,7,7,7,5,12,6,4,3,4,3,7,4,2,2,2,5,1,1,0,2,0,1,0,0,1
"E01000899",1667,23,31,19,15,24,27,16,25,20,22,21,13,31,13,12,15,14,13,8,11,1,10,10,8,12,18,12,20,20,19,15,19,23,32,19,27,31,27,30,43,28,27,39,24,24,30,26,23,29,28,25,21,24,30,11,12,23,22,9,22,12,21,30,37,28,31,19,15,19,5,15,18,8,8,16,16,15,5,16,12,12,14,7,4,9,4,6,2,3,4,1,3,2,4,0,0,0,0,0,0,0
