"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E00004207",128,38,10,28,90,10,5,6,19,12,19,19
"E00004208",125,42,16,26,83,15,10,15,15,0,10,18
"E00004209",113,40,6,34,73,0,6,5,23,3,5,31
"E00004210",126,46,12,34,80,13,7,17,12,9,6,16
"E00004211",124,44,3,41,80,1,4,3,28,5,9,30
"E00004212",134,42,7,35,92,3,7,14,33,9,5,21
"E00004213",167,49,6,43,118,15,7,15,30,5,23,23
"E00004214",243,108,9,99,135,14,1,23,51,6,15,25
"E00004215",129,58,12,46,71,3,6,12,29,4,2,15
"E00004216",146,69,13,56,77,3,7,23,24,1,7,12
"E00004217",141,76,11,65,65,0,5,12,35,1,1,11
"E00004218",131,49,21,28,82,6,9,5,25,5,9,23
"E00004219",190,102,19,83,88,10,4,17,29,0,4,24
"E00004220",87,44,22,22,43,3,10,5,10,4,3,8
"E00004221",111,43,14,29,68,0,6,17,29,5,1,10
"E00004222",109,55,11,44,54,2,5,10,21,3,4,9
"E00004223",116,35,6,29,81,3,0,12,22,6,9,29
"E00004224",147,77,11,66,70,1,4,16,28,2,5,14
"E00004225",195,82,2,80,113,5,3,4,66,1,4,30
"E00004226",119,52,21,31,67,1,9,15,16,4,5,17
"E00004227",145,75,15,60,70,4,13,13,28,1,3,8
"E00004228",107,49,11,38,58,0,12,7,26,5,2,6
"E00004229",174,74,8,66,100,8,9,7,61,2,1,12
"E00004230",130,56,7,49,74,4,8,10,26,0,6,20
"E00004231",142,51,11,40,91,0,10,26,30,6,4,15
"E00004232",132,88,47,41,44,0,14,7,18,3,1,1
"E00004233",124,58,23,35,66,3,8,8,29,1,4,13
"E00004234",124,46,15,31,78,2,10,16,41,1,1,7
"E00004235",163,72,12,60,91,13,3,9,42,2,3,19
"E00004236",150,62,4,58,88,4,4,3,36,2,5,34
"E00004237",123,44,6,38,79,8,4,6,37,3,6,15
"E00004238",126,45,16,29,81,2,13,16,21,2,5,22
"E00004239",111,59,18,41,52,5,5,11,15,0,4,12
"E00004240",136,51,5,46,85,6,8,5,27,2,11,26
"E00004241",133,44,13,31,89,1,16,18,31,3,5,15
"E00004242",105,71,3,68,34,1,1,10,12,2,3,5
"E00004243",110,26,7,19,84,0,13,17,22,6,11,15
"E00004244",100,36,8,28,64,10,3,9,6,5,17,14
"E00004245",163,74,20,54,89,4,18,11,35,4,2,15
"E00004246",121,51,12,39,70,6,4,9,26,5,5,15
"E00004247",156,64,23,41,92,5,12,10,40,4,2,19
"E00004248",207,91,13,78,116,10,9,17,37,6,10,27
"E00004249",114,40,5,35,74,6,7,7,38,1,3,12
"E00004250",127,54,11,43,73,2,2,9,30,4,5,21
"E00004251",95,33,4,29,62,1,10,8,13,2,11,17
"E00004252",115,46,7,39,69,3,8,12,24,2,8,12
"E00004253",132,49,13,36,83,5,11,7,34,2,7,17
"E00004254",119,38,10,28,81,12,6,18,14,4,11,16
"E00004255",128,50,11,39,78,11,1,12,28,2,3,21
"E00004256",149,46,28,18,103,9,4,13,41,3,9,24
"E00004257",113,28,4,24,85,9,7,16,37,0,4,12
"E00004258",111,46,6,40,65,2,2,4,24,0,1,32
"E00004259",104,32,10,22,72,20,8,6,7,6,8,17
"E00004260",136,92,12,80,44,7,2,12,13,1,5,4
"E00004261",114,44,11,33,70,4,6,4,23,8,5,20
"E00004262",114,40,10,30,74,13,3,17,19,7,5,10
"E00004263",121,23,5,18,98,16,4,21,17,10,17,13
"E00004264",176,68,12,56,108,5,3,11,59,0,0,30
"E00004265",112,54,15,39,58,11,1,7,16,1,3,19
"E00004266",156,71,21,50,85,5,2,15,31,6,5,21
