"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E00004190",469,24,26,35,2,49,301,32,0,66,10,3,53,5.11727078891258,5.54371002132196,7.46268656716418,0.426439232409382,10.4477611940298,64.1791044776119,6.82302771855011,0,14.0724946695096,2.13219616204691,0.639658848614073,11.3006396588486
"E00004193",646,12,10,28,2,196,329,69,0,311,31,14,266,1.85758513931889,1.54798761609907,4.3343653250774,0.309597523219814,30.3405572755418,50.9287925696594,10.6811145510836,0,48.1424148606811,4.79876160990712,2.1671826625387,41.1764705882353
"E00004194",234,16,10,5,1,21,157,24,0,41,7,2,32,6.83760683760684,4.27350427350427,2.13675213675214,0.427350427350427,8.97435897435897,67.0940170940171,10.2564102564103,0,17.5213675213675,2.99145299145299,0.854700854700855,13.6752136752137
"E00004195",289,13,8,7,3,48,181,29,2,75,12,0,63,4.49826989619377,2.7681660899654,2.42214532871972,1.03806228373702,16.6089965397924,62.6297577854671,10.0346020761246,0.69204152249135,25.9515570934256,4.1522491349481,0,21.7993079584775
"E00004196",198,19,10,11,0,15,135,8,2,23,0,3,20,9.5959595959596,5.05050505050505,5.55555555555556,0,7.57575757575758,68.1818181818182,4.04040404040404,1.01010101010101,11.6161616161616,0,1.51515151515152,10.1010101010101
"E00004197",249,7,9,14,0,38,156,25,1,50,7,0,43,2.81124497991968,3.6144578313253,5.62248995983936,0,15.2610441767068,62.6506024096386,10.0401606425703,0.401606425702811,20.0803212851406,2.81124497991968,0,17.2690763052209
"E00004198",334,13,20,16,2,75,156,52,2,114,11,3,100,3.89221556886228,5.98802395209581,4.79041916167665,0.598802395209581,22.4550898203593,46.7065868263473,15.5688622754491,0.598802395209581,34.1317365269461,3.2934131736527,0.898203592814371,29.940119760479
"E00004199",262,10,14,6,1,37,159,35,2,45,7,1,37,3.81679389312977,5.34351145038168,2.29007633587786,0.381679389312977,14.1221374045802,60.6870229007634,13.3587786259542,0.763358778625954,17.175572519084,2.67175572519084,0.381679389312977,14.1221374045802
"E00004200",236,18,14,13,1,26,135,29,2,28,5,2,21,7.6271186440678,5.93220338983051,5.50847457627119,0.423728813559322,11.0169491525424,57.2033898305085,12.2881355932203,0.847457627118644,11.864406779661,2.11864406779661,0.847457627118644,8.89830508474576
"E00004201",229,12,9,16,0,13,167,12,2,6,2,0,4,5.24017467248908,3.93013100436681,6.98689956331878,0,5.67685589519651,72.9257641921397,5.24017467248908,0.873362445414847,2.62008733624454,0.873362445414847,0,1.74672489082969
"E00004202",170,67,17,10,5,6,47,18,0,0,0,0,0,39.4117647058824,10,5.88235294117647,2.94117647058824,3.52941176470588,27.6470588235294,10.5882352941176,0,0,0,0,0
"E00004203",299,15,14,19,1,35,196,19,1,41,16,2,23,5.01672240802676,4.68227424749164,6.35451505016722,0.334448160535117,11.7056856187291,65.5518394648829,6.35451505016722,0.334448160535117,13.7123745819398,5.35117056856187,0.668896321070234,7.69230769230769
"E00004204",247,12,11,15,1,21,170,17,0,17,1,0,16,4.8582995951417,4.45344129554656,6.07287449392713,0.404858299595142,8.50202429149797,68.8259109311741,6.88259109311741,0,6.88259109311741,0.404858299595142,0,6.47773279352227
"E00004205",318,27,22,23,1,31,199,15,14,42,16,6,20,8.49056603773585,6.91823899371069,7.23270440251572,0.314465408805031,9.74842767295597,62.5786163522013,4.71698113207547,4.40251572327044,13.2075471698113,5.0314465408805,1.88679245283019,6.28930817610063
"E00004206",252,60,33,19,6,29,80,25,5,18,4,1,13,23.8095238095238,13.0952380952381,7.53968253968254,2.38095238095238,11.5079365079365,31.7460317460317,9.92063492063492,1.98412698412698,7.14285714285714,1.58730158730159,0.396825396825397,5.15873015873016
"E00004207",266,67,31,27,3,32,69,37,8,38,8,3,27,25.187969924812,11.6541353383459,10.1503759398496,1.12781954887218,12.0300751879699,25.9398496240602,13.9097744360902,3.00751879699248,14.2857142857143,3.00751879699248,1.12781954887218,10.1503759398496
"E00004208",241,64,32,17,2,43,63,20,7,39,5,4,30,26.5560165975104,13.2780082987552,7.05394190871369,0.829875518672199,17.8423236514523,26.1410788381743,8.29875518672199,2.9045643153527,16.1825726141079,2.0746887966805,1.6597510373444,12.448132780083
"E00004209",247,49,20,25,2,30,95,26,9,20,4,2,14,19.8380566801619,8.09716599190283,10.1214574898785,0.809716599190283,12.1457489878543,38.4615384615385,10.5263157894737,3.64372469635628,8.09716599190283,1.61943319838057,0.809716599190283,5.66801619433198
"E00004210",230,69,33,19,5,31,48,25,3,20,2,0,18,30,14.3478260869565,8.26086956521739,2.17391304347826,13.4782608695652,20.8695652173913,10.8695652173913,1.30434782608696,8.69565217391304,0.869565217391304,0,7.82608695652174
"E00004211",274,26,18,22,3,48,123,34,6,52,15,0,37,9.48905109489051,6.56934306569343,8.02919708029197,1.09489051094891,17.5182481751825,44.8905109489051,12.4087591240876,2.18978102189781,18.978102189781,5.47445255474453,0,13.5036496350365
"E00004212",264,15,23,24,1,29,153,19,8,18,4,0,14,5.68181818181818,8.71212121212121,9.09090909090909,0.378787878787879,10.9848484848485,57.9545454545455,7.1969696969697,3.03030303030303,6.81818181818182,1.51515151515152,0,5.3030303030303
"E00004213",341,73,35,49,3,38,126,17,20,29,8,1,20,21.4076246334311,10.2639296187683,14.3695014662757,0.879765395894428,11.1436950146628,36.950146627566,4.98533724340176,5.86510263929619,8.50439882697947,2.34604105571848,0.293255131964809,5.86510263929619
"E00004214",422,73,39,48,3,46,170,43,18,42,11,2,29,17.2985781990521,9.24170616113744,11.3744075829384,0.710900473933649,10.9004739336493,40.2843601895735,10.1895734597156,4.2654028436019,9.95260663507109,2.60663507109005,0.4739336492891,6.87203791469194
"E00004215",228,17,10,19,1,17,151,13,2,9,2,0,7,7.45614035087719,4.3859649122807,8.33333333333333,0.43859649122807,7.45614035087719,66.2280701754386,5.70175438596491,0.87719298245614,3.94736842105263,0.87719298245614,0,3.07017543859649
"E00004216",246,7,21,11,0,12,174,21,4,6,2,0,4,2.84552845528455,8.53658536585366,4.47154471544715,0,4.8780487804878,70.7317073170732,8.53658536585366,1.6260162601626,2.4390243902439,0.813008130081301,0,1.6260162601626
"E00004217",221,22,7,12,2,22,137,19,2,5,2,0,3,9.95475113122172,3.16742081447964,5.42986425339367,0.904977375565611,9.95475113122172,61.9909502262443,8.5972850678733,0.904977375565611,2.26244343891403,0.904977375565611,0,1.35746606334842
"E00004218",252,37,24,24,3,33,108,23,8,13,3,2,8,14.6825396825397,9.52380952380952,9.52380952380952,1.19047619047619,13.0952380952381,42.8571428571429,9.12698412698413,3.17460317460317,5.15873015873016,1.19047619047619,0.793650793650794,3.17460317460317
"E00004219",320,22,30,25,4,40,178,21,5,44,6,0,38,6.875,9.375,7.8125,1.25,12.5,55.625,6.5625,1.5625,13.75,1.875,0,11.875
"E00004220",140,31,9,18,2,17,48,15,2,4,0,0,4,22.1428571428571,6.42857142857143,12.8571428571429,1.42857142857143,12.1428571428571,34.2857142857143,10.7142857142857,1.42857142857143,2.85714285714286,0,0,2.85714285714286
"E00004221",191,8,6,5,0,9,146,17,3,5,0,0,5,4.18848167539267,3.1413612565445,2.61780104712042,0,4.71204188481675,76.4397905759162,8.90052356020942,1.57068062827225,2.61780104712042,0,0,2.61780104712042
"E00004222",182,15,7,12,2,18,106,22,3,11,1,1,9,8.24175824175824,3.84615384615385,6.59340659340659,1.0989010989011,9.89010989010989,58.2417582417582,12.0879120879121,1.64835164835165,6.04395604395604,0.549450549450549,0.549450549450549,4.94505494505495
