"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E01000869",1910,406,69,6,63,337,180,88,48,21,574,416,231,26,144,15,124,34,142,76,49,12,5,183,40,40,0,143,142,1,55,46,9,9,0,146,39,66,4,10,0,22,5,107,30,6,32,39,0,128,97,31,169,169,0
"E01000870",1521,290,58,2,56,232,138,34,52,8,421,319,176,20,111,12,79,23,131,81,31,14,5,164,41,41,0,123,123,0,95,67,28,28,0,148,61,52,2,5,0,26,2,107,19,16,34,36,2,111,90,21,54,54,0
"E01000871",1471,475,81,1,80,394,139,59,139,57,440,298,168,20,89,21,122,20,104,62,28,12,2,166,70,70,0,96,96,0,48,27,21,21,0,72,18,38,1,8,0,7,0,60,16,8,16,20,0,67,62,5,39,39,0
"E01000872",1788,359,36,4,32,323,178,98,30,17,502,335,225,40,51,19,138,29,208,115,61,20,12,228,72,72,0,156,153,3,83,55,28,19,9,138,26,80,7,9,2,14,0,121,35,4,33,49,0,100,53,47,49,48,1
"E01000873",1468,500,90,1,89,410,222,100,71,17,566,411,272,45,79,15,128,27,102,76,21,5,0,105,26,26,0,79,75,4,36,28,8,8,0,61,18,22,3,7,0,11,0,37,21,0,3,13,0,41,22,19,20,20,0
"E01000874",1349,425,87,5,82,338,205,69,48,16,545,370,201,60,99,10,145,30,99,56,26,8,9,125,43,43,0,82,82,0,14,10,4,4,0,46,20,7,0,0,0,19,0,29,18,0,5,5,1,23,9,14,43,43,0
"E01000875",1503,322,46,0,46,276,159,87,20,10,420,336,226,32,63,15,65,19,158,110,43,3,2,133,33,33,0,100,100,0,72,61,11,11,0,139,62,50,4,12,0,9,2,96,37,1,23,35,0,78,54,24,85,85,0
"E01000876",1581,270,61,0,61,209,111,49,37,12,398,292,204,38,46,4,84,22,120,76,33,11,0,131,32,32,0,99,99,0,104,68,36,30,6,177,54,91,1,6,1,17,7,99,19,0,32,48,0,178,130,48,104,104,0
"E01000877",1412,460,99,4,95,361,191,98,61,11,546,370,279,18,66,7,135,41,110,64,29,14,3,112,31,31,0,81,81,0,34,29,5,5,0,33,17,8,0,2,0,6,0,47,15,1,13,18,0,33,22,11,37,37,0
"E01000878",1017,340,98,8,90,242,116,67,46,13,325,182,104,35,29,14,137,6,45,32,11,0,2,152,90,90,0,62,62,0,31,10,21,16,5,46,14,29,0,1,0,2,0,19,5,0,7,7,0,50,41,9,9,9,0
