"GeographyCode","KS603EW0001","KS603EW0002","KS603EW0003","KS603EW0004","KS603EW0005","KS603EW0006","KS603EW0007","KS603EW0008","KS603EW0009","KS603EW0010","KS603EW0011","KS603EW0012","KS603EW0013","KS603EW0014","KS603EW0015","KS603EW0016","KS603EW0017","KS603EW0018","KS603EW0019","KS603EW0020","KS603EW0021","KS603EW0022","KS603EW0023","KS603EW0024","KS603EW0025","KS603EW0026","KS603EW0027","KS603EW0028","KS603EW0029"
"E00004383",95,8,51,9,2,2,13,4,2,3,1,1,0,0,0,8.42105263157895,53.6842105263158,9.47368421052632,2.10526315789474,2.10526315789474,13.6842105263158,4.21052631578947,2.10526315789474,3.15789473684211,1.05263157894737,1.05263157894737,0,0,0
"E00004384",81,7,30,16,3,2,7,5,7,2,2,0,2,0,2,8.64197530864197,37.037037037037,19.7530864197531,3.7037037037037,2.46913580246914,8.64197530864197,6.17283950617284,8.64197530864197,2.46913580246914,2.46913580246914,0,2.46913580246914,0,2.46913580246914
"E00004385",86,8,36,17,3,0,4,7,7,2,2,1,0,1,0,9.30232558139535,41.8604651162791,19.7674418604651,3.48837209302326,0,4.65116279069767,8.13953488372093,8.13953488372093,2.32558139534884,2.32558139534884,1.16279069767442,0,1.16279069767442,0
"E00004386",94,14,31,14,0,3,8,15,5,2,2,0,0,0,0,14.8936170212766,32.9787234042553,14.8936170212766,0,3.19148936170213,8.51063829787234,15.9574468085106,5.31914893617021,2.12765957446809,2.12765957446809,0,0,0,0
"E00004387",87,12,40,9,4,3,7,10,1,1,0,1,1,0,0,13.7931034482759,45.9770114942529,10.3448275862069,4.59770114942529,3.44827586206897,8.04597701149425,11.4942528735632,1.14942528735632,1.14942528735632,0,1.14942528735632,1.14942528735632,0,0
"E00004388",87,9,31,15,2,2,11,11,4,1,1,0,0,0,0,10.3448275862069,35.632183908046,17.2413793103448,2.29885057471264,2.29885057471264,12.6436781609195,12.6436781609195,4.59770114942529,1.14942528735632,1.14942528735632,0,0,0,0
"E00004389",113,10,46,19,2,2,12,10,6,1,5,0,1,0,1,8.84955752212389,40.7079646017699,16.8141592920354,1.76991150442478,1.76991150442478,10.6194690265487,8.84955752212389,5.30973451327434,0.884955752212389,4.42477876106195,0,0.884955752212389,0,0.884955752212389
"E00004390",115,15,53,12,5,2,8,4,9,6,1,1,1,1,2,13.0434782608696,46.0869565217391,10.4347826086957,4.34782608695652,1.73913043478261,6.95652173913043,3.47826086956522,7.82608695652174,5.21739130434783,0.869565217391304,0.869565217391304,0.869565217391304,0.869565217391304,1.73913043478261
"E00004391",118,22,47,20,4,3,8,4,4,2,4,0,2,0,1,18.6440677966102,39.8305084745763,16.9491525423729,3.38983050847458,2.54237288135593,6.77966101694915,3.38983050847458,3.38983050847458,1.69491525423729,3.38983050847458,0,1.69491525423729,0,0.847457627118644
"E00004392",93,13,22,14,2,2,21,6,6,3,4,1,0,1,1,13.9784946236559,23.6559139784946,15.0537634408602,2.1505376344086,2.1505376344086,22.5806451612903,6.45161290322581,6.45161290322581,3.2258064516129,4.3010752688172,1.0752688172043,0,1.0752688172043,1.0752688172043
"E00004393",112,15,28,11,13,3,8,8,8,7,11,4,0,2,5,13.3928571428571,25,9.82142857142857,11.6071428571429,2.67857142857143,7.14285714285714,7.14285714285714,7.14285714285714,6.25,9.82142857142857,3.57142857142857,0,1.78571428571429,4.46428571428571
"E00004394",85,8,28,16,7,2,6,8,3,4,3,0,3,1,5,9.41176470588235,32.9411764705882,18.8235294117647,8.23529411764706,2.35294117647059,7.05882352941176,9.41176470588235,3.52941176470588,4.70588235294118,3.52941176470588,0,3.52941176470588,1.17647058823529,5.88235294117647
"E00004395",101,9,49,16,2,4,9,6,2,1,3,0,0,0,1,8.91089108910891,48.5148514851485,15.8415841584158,1.98019801980198,3.96039603960396,8.91089108910891,5.94059405940594,1.98019801980198,0.99009900990099,2.97029702970297,0,0,0,0.99009900990099
"E00004396",103,13,29,7,9,9,8,8,8,7,5,2,3,2,3,12.621359223301,28.1553398058252,6.79611650485437,8.7378640776699,8.7378640776699,7.76699029126214,7.76699029126214,7.76699029126214,6.79611650485437,4.85436893203883,1.94174757281553,2.9126213592233,1.94174757281553,2.9126213592233
"E00004397",124,17,32,3,11,7,6,10,21,9,8,4,3,3,6,13.7096774193548,25.8064516129032,2.41935483870968,8.87096774193548,5.64516129032258,4.83870967741935,8.06451612903226,16.9354838709677,7.25806451612903,6.45161290322581,3.2258064516129,2.41935483870968,2.41935483870968,4.83870967741935
"E00004398",93,11,30,6,2,3,9,11,9,6,6,0,1,0,0,11.8279569892473,32.258064516129,6.45161290322581,2.1505376344086,3.2258064516129,9.67741935483871,11.8279569892473,9.67741935483871,6.45161290322581,6.45161290322581,0,1.0752688172043,0,0
"E00004399",142,20,32,4,9,8,13,10,24,15,7,2,0,4,4,14.0845070422535,22.5352112676056,2.8169014084507,6.33802816901408,5.63380281690141,9.15492957746479,7.04225352112676,16.9014084507042,10.5633802816901,4.92957746478873,1.40845070422535,0,2.8169014084507,2.8169014084507
"E00004400",104,14,21,2,11,6,12,5,11,13,9,2,3,3,6,13.4615384615385,20.1923076923077,1.92307692307692,10.5769230769231,5.76923076923077,11.5384615384615,4.80769230769231,10.5769230769231,12.5,8.65384615384615,1.92307692307692,2.88461538461538,2.88461538461538,5.76923076923077
"E00004401",95,9,26,24,4,3,11,4,9,2,3,0,0,0,1,9.47368421052632,27.3684210526316,25.2631578947368,4.21052631578947,3.15789473684211,11.5789473684211,4.21052631578947,9.47368421052632,2.10526315789474,3.15789473684211,0,0,0,1.05263157894737
"E00004402",89,9,41,13,3,1,5,3,8,3,3,0,1,0,1,10.1123595505618,46.0674157303371,14.6067415730337,3.37078651685393,1.12359550561798,5.61797752808989,3.37078651685393,8.98876404494382,3.37078651685393,3.37078651685393,0,1.12359550561798,0,1.12359550561798
"E00004403",107,13,30,18,2,1,16,3,15,1,8,0,1,0,2,12.1495327102804,28.0373831775701,16.8224299065421,1.86915887850467,0.934579439252336,14.9532710280374,2.80373831775701,14.018691588785,0.934579439252336,7.47663551401869,0,0.934579439252336,0,1.86915887850467
"E00004404",97,9,24,21,3,1,11,7,15,1,5,0,1,0,1,9.27835051546392,24.7422680412371,21.6494845360825,3.09278350515464,1.03092783505155,11.340206185567,7.21649484536082,15.4639175257732,1.03092783505155,5.15463917525773,0,1.03092783505155,0,1.03092783505155
"E00004405",103,9,22,25,3,2,17,5,15,0,5,0,0,0,3,8.7378640776699,21.3592233009709,24.2718446601942,2.9126213592233,1.94174757281553,16.504854368932,4.85436893203883,14.5631067961165,0,4.85436893203883,0,0,0,2.9126213592233
"E00004406",95,12,28,18,0,2,15,6,6,3,5,0,0,0,0,12.6315789473684,29.4736842105263,18.9473684210526,0,2.10526315789474,15.7894736842105,6.31578947368421,6.31578947368421,3.15789473684211,5.26315789473684,0,0,0,0
"E00004407",136,12,40,26,4,2,19,9,18,1,5,1,0,1,1,8.82352941176471,29.4117647058824,19.1176470588235,2.94117647058824,1.47058823529412,13.9705882352941,6.61764705882353,13.2352941176471,0.735294117647059,3.67647058823529,0.735294117647059,0,0.735294117647059,0.735294117647059
"E00004408",96,8,25,27,1,0,11,5,13,1,5,0,1,0,0,8.33333333333333,26.0416666666667,28.125,1.04166666666667,0,11.4583333333333,5.20833333333333,13.5416666666667,1.04166666666667,5.20833333333333,0,1.04166666666667,0,0
"E00004409",103,14,33,11,5,3,10,8,13,2,4,1,1,2,0,13.5922330097087,32.0388349514563,10.6796116504854,4.85436893203883,2.9126213592233,9.70873786407767,7.76699029126214,12.621359223301,1.94174757281553,3.88349514563107,0.970873786407767,0.970873786407767,1.94174757281553,0
"E00004410",96,15,29,22,1,0,8,4,9,2,6,0,1,0,0,15.625,30.2083333333333,22.9166666666667,1.04166666666667,0,8.33333333333333,4.16666666666667,9.375,2.08333333333333,6.25,0,1.04166666666667,0,0
"E00004411",102,12,36,26,4,1,7,5,8,1,2,0,0,0,3,11.7647058823529,35.2941176470588,25.4901960784314,3.92156862745098,0.980392156862745,6.86274509803922,4.90196078431373,7.84313725490196,0.980392156862745,1.96078431372549,0,0,0,2.94117647058824
"E00004412",110,8,44,31,3,3,7,5,7,1,1,1,0,0,0,7.27272727272727,40,28.1818181818182,2.72727272727273,2.72727272727273,6.36363636363636,4.54545454545455,6.36363636363636,0.909090909090909,0.909090909090909,0.909090909090909,0,0,0
"E00004413",76,10,21,9,1,0,5,1,21,1,7,0,0,0,1,13.1578947368421,27.6315789473684,11.8421052631579,1.31578947368421,0,6.57894736842105,1.31578947368421,27.6315789473684,1.31578947368421,9.21052631578947,0,0,0,1.31578947368421
"E00004414",120,13,33,27,3,2,9,9,15,4,5,0,0,0,3,10.8333333333333,27.5,22.5,2.5,1.66666666666667,7.5,7.5,12.5,3.33333333333333,4.16666666666667,0,0,0,2.5
"E00004415",108,10,36,25,2,3,9,3,15,1,4,1,1,0,0,9.25925925925926,33.3333333333333,23.1481481481481,1.85185185185185,2.77777777777778,8.33333333333333,2.77777777777778,13.8888888888889,0.925925925925926,3.7037037037037,0.925925925925926,0.925925925925926,0,0
"E00004416",91,10,32,29,0,1,8,1,7,0,3,0,0,0,0,10.989010989011,35.1648351648352,31.8681318681319,0,1.0989010989011,8.79120879120879,1.0989010989011,7.69230769230769,0,3.2967032967033,0,0,0,0
"E00004417",114,9,45,24,1,3,13,6,11,0,2,0,0,0,1,7.89473684210526,39.4736842105263,21.0526315789474,0.87719298245614,2.63157894736842,11.4035087719298,5.26315789473684,9.64912280701754,0,1.75438596491228,0,0,0,0.87719298245614
"E00004418",109,15,34,28,2,0,11,7,9,0,3,0,1,0,2,13.7614678899083,31.1926605504587,25.6880733944954,1.8348623853211,0,10.0917431192661,6.42201834862385,8.25688073394496,0,2.75229357798165,0,0.917431192660551,0,1.8348623853211
"E00004419",94,5,51,14,0,2,2,6,10,1,3,0,0,0,0,5.31914893617021,54.2553191489362,14.8936170212766,0,2.12765957446809,2.12765957446809,6.38297872340426,10.6382978723404,1.06382978723404,3.19148936170213,0,0,0,0
"E00004420",86,6,26,16,4,1,8,6,13,2,4,0,3,2,1,6.97674418604651,30.2325581395349,18.6046511627907,4.65116279069767,1.16279069767442,9.30232558139535,6.97674418604651,15.1162790697674,2.32558139534884,4.65116279069767,0,3.48837209302326,2.32558139534884,1.16279069767442
"E00004421",109,10,36,19,7,2,8,7,15,2,3,1,1,2,3,9.1743119266055,33.0275229357798,17.4311926605505,6.42201834862385,1.8348623853211,7.3394495412844,6.42201834862385,13.7614678899083,1.8348623853211,2.75229357798165,0.917431192660551,0.917431192660551,1.8348623853211,2.75229357798165
"E00004422",69,2,23,22,0,3,6,5,5,1,2,0,0,0,0,2.89855072463768,33.3333333333333,31.8840579710145,0,4.34782608695652,8.69565217391304,7.2463768115942,7.2463768115942,1.44927536231884,2.89855072463768,0,0,0,0
"E00004423",102,10,35,20,8,2,13,9,4,0,1,2,2,0,4,9.80392156862745,34.3137254901961,19.6078431372549,7.84313725490196,1.96078431372549,12.7450980392157,8.82352941176471,3.92156862745098,0,0.980392156862745,1.96078431372549,1.96078431372549,0,3.92156862745098
"E00004424",92,6,54,9,1,0,8,4,8,1,1,0,0,0,1,6.52173913043478,58.695652173913,9.78260869565217,1.08695652173913,0,8.69565217391304,4.34782608695652,8.69565217391304,1.08695652173913,1.08695652173913,0,0,0,1.08695652173913
"E00004425",134,14,50,23,4,1,9,15,10,3,5,1,2,1,2,10.4477611940298,37.3134328358209,17.1641791044776,2.98507462686567,0.746268656716418,6.71641791044776,11.1940298507463,7.46268656716418,2.23880597014925,3.73134328358209,0.746268656716418,1.49253731343284,0.746268656716418,1.49253731343284
"E00004426",123,14,45,17,3,3,15,11,8,3,4,0,0,0,1,11.3821138211382,36.5853658536585,13.8211382113821,2.4390243902439,2.4390243902439,12.1951219512195,8.94308943089431,6.50406504065041,2.4390243902439,3.2520325203252,0,0,0,0.813008130081301
"E00004427",101,6,25,16,1,3,11,4,24,0,11,0,1,0,0,5.94059405940594,24.7524752475248,15.8415841584158,0.99009900990099,2.97029702970297,10.8910891089109,3.96039603960396,23.7623762376238,0,10.8910891089109,0,0.99009900990099,0,0
"E00004428",76,9,31,12,1,1,6,3,11,0,2,0,0,0,0,11.8421052631579,40.7894736842105,15.7894736842105,1.31578947368421,1.31578947368421,7.89473684210526,3.94736842105263,14.4736842105263,0,2.63157894736842,0,0,0,0
"E00004429",106,14,49,12,5,2,12,5,5,1,1,1,0,1,1,13.2075471698113,46.2264150943396,11.3207547169811,4.71698113207547,1.88679245283019,11.3207547169811,4.71698113207547,4.71698113207547,0.943396226415094,0.943396226415094,0.943396226415094,0,0.943396226415094,0.943396226415094
"E00004430",40,1,12,6,0,1,16,0,3,1,0,0,0,0,0,2.5,30,15,0,2.5,40,0,7.5,2.5,0,0,0,0,0
"E00004431",97,8,23,19,4,2,14,8,16,1,2,0,0,0,2,8.24742268041237,23.7113402061856,19.5876288659794,4.12371134020619,2.06185567010309,14.4329896907216,8.24742268041237,16.4948453608247,1.03092783505155,2.06185567010309,0,0,0,2.06185567010309
"E00004432",110,6,57,18,3,5,8,6,3,0,4,0,0,0,1,5.45454545454545,51.8181818181818,16.3636363636364,2.72727272727273,4.54545454545455,7.27272727272727,5.45454545454545,2.72727272727273,0,3.63636363636364,0,0,0,0.909090909090909
"E00004433",111,8,39,26,2,1,7,6,17,1,4,0,0,0,0,7.20720720720721,35.1351351351351,23.4234234234234,1.8018018018018,0.900900900900901,6.30630630630631,5.40540540540541,15.3153153153153,0.900900900900901,3.6036036036036,0,0,0,0
"E00004435",105,8,40,9,7,5,20,2,1,13,0,0,4,0,5,7.61904761904762,38.0952380952381,8.57142857142857,6.66666666666667,4.76190476190476,19.047619047619,1.9047619047619,0.952380952380952,12.3809523809524,0,0,3.80952380952381,0,4.76190476190476
"E00004436",136,7,50,24,3,3,19,6,9,2,13,2,1,0,0,5.14705882352941,36.7647058823529,17.6470588235294,2.20588235294118,2.20588235294118,13.9705882352941,4.41176470588235,6.61764705882353,1.47058823529412,9.55882352941176,1.47058823529412,0.735294117647059,0,0
"E00004437",100,10,31,20,1,2,8,12,10,4,2,0,0,0,1,10,31,20,1,2,8,12,10,4,2,0,0,0,1
"E00004438",98,5,47,7,1,4,6,22,2,1,3,0,0,0,1,5.10204081632653,47.9591836734694,7.14285714285714,1.02040816326531,4.08163265306122,6.12244897959184,22.4489795918367,2.04081632653061,1.02040816326531,3.06122448979592,0,0,0,1.02040816326531
"E00004439",89,9,30,18,2,0,10,3,15,0,2,0,0,0,2,10.1123595505618,33.7078651685393,20.2247191011236,2.24719101123596,0,11.2359550561798,3.37078651685393,16.8539325842697,0,2.24719101123596,0,0,0,2.24719101123596
"E00004440",90,7,36,9,1,3,14,6,13,0,1,0,0,1,0,7.77777777777778,40,10,1.11111111111111,3.33333333333333,15.5555555555556,6.66666666666667,14.4444444444444,0,1.11111111111111,0,0,1.11111111111111,0
"E00004441",118,6,53,15,9,8,9,5,6,5,2,1,3,0,3,5.08474576271187,44.9152542372881,12.7118644067797,7.6271186440678,6.77966101694915,7.6271186440678,4.23728813559322,5.08474576271187,4.23728813559322,1.69491525423729,0.847457627118644,2.54237288135593,0,2.54237288135593
"E00004442",94,8,30,6,6,1,6,12,9,12,4,1,2,1,2,8.51063829787234,31.9148936170213,6.38297872340426,6.38297872340426,1.06382978723404,6.38297872340426,12.7659574468085,9.57446808510638,12.7659574468085,4.25531914893617,1.06382978723404,2.12765957446809,1.06382978723404,2.12765957446809
"E00004444",163,16,50,3,10,7,12,14,30,10,11,3,1,3,4,9.8159509202454,30.6748466257669,1.84049079754601,6.13496932515337,4.29447852760736,7.36196319018405,8.58895705521472,18.4049079754601,6.13496932515337,6.74846625766871,1.84049079754601,0.613496932515337,1.84049079754601,2.45398773006135
"E00004445",96,9,39,9,5,1,7,14,4,6,2,0,3,1,3,9.375,40.625,9.375,5.20833333333333,1.04166666666667,7.29166666666667,14.5833333333333,4.16666666666667,6.25,2.08333333333333,0,3.125,1.04166666666667,3.125
"E00004446",120,15,39,6,9,5,9,14,9,9,5,0,3,3,5,12.5,32.5,5,7.5,4.16666666666667,7.5,11.6666666666667,7.5,7.5,4.16666666666667,0,2.5,2.5,4.16666666666667
"E00004447",34,2,10,3,1,0,11,4,1,1,1,0,0,0,1,5.88235294117647,29.4117647058824,8.82352941176471,2.94117647058824,0,32.3529411764706,11.7647058823529,2.94117647058824,2.94117647058824,2.94117647058824,0,0,0,2.94117647058824
"E00004448",134,17,50,9,7,4,15,9,10,8,5,3,0,3,3,12.6865671641791,37.3134328358209,6.71641791044776,5.22388059701492,2.98507462686567,11.1940298507463,6.71641791044776,7.46268656716418,5.97014925373134,3.73134328358209,2.23880597014925,0,2.23880597014925,2.23880597014925
"E00004450",152,10,65,9,11,7,13,11,14,8,4,2,1,5,1,6.57894736842105,42.7631578947368,5.92105263157895,7.23684210526316,4.60526315789474,8.55263157894737,7.23684210526316,9.21052631578947,5.26315789473684,2.63157894736842,1.31578947368421,0.657894736842105,3.28947368421053,0.657894736842105
"E00004451",107,6,36,15,5,3,9,10,10,9,4,1,2,0,3,5.60747663551402,33.6448598130841,14.018691588785,4.67289719626168,2.80373831775701,8.41121495327103,9.34579439252336,9.34579439252336,8.41121495327103,3.73831775700935,0.934579439252336,1.86915887850467,0,2.80373831775701
"E00004452",133,10,46,23,6,8,8,13,10,4,5,0,1,1,0,7.5187969924812,34.5864661654135,17.2932330827068,4.51127819548872,6.01503759398496,6.01503759398496,9.77443609022556,7.5187969924812,3.00751879699248,3.7593984962406,0,0.75187969924812,0.75187969924812,0
