"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00004245",12,2,5,5,0,0,0,0,12,2,5,5,16.6666666666667,41.6666666666667,41.6666666666667,0,0,0,0,100,16.6666666666667,41.6666666666667,41.6666666666667
"E00004246",8,3,3,2,1,1,0,0,7,2,3,2,37.5,37.5,25,12.5,12.5,0,0,87.5,25,37.5,25
"E00004247",9,2,4,3,0,0,0,0,9,2,4,3,22.2222222222222,44.4444444444444,33.3333333333333,0,0,0,0,100,22.2222222222222,44.4444444444444,33.3333333333333
"E00004248",14,4,3,7,1,0,1,0,13,4,2,7,28.5714285714286,21.4285714285714,50,7.14285714285714,0,7.14285714285714,0,92.8571428571429,28.5714285714286,14.2857142857143,50
"E00004249",8,3,1,4,0,0,0,0,8,3,1,4,37.5,12.5,50,0,0,0,0,100,37.5,12.5,50
"E00004250",1,1,0,0,0,0,0,0,1,1,0,0,100,0,0,0,0,0,0,100,100,0,0
"E00004251",1,0,0,1,1,0,0,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0
"E00004252",5,0,3,2,1,0,1,0,4,0,2,2,0,60,40,20,0,20,0,80,0,40,40
"E00004253",11,2,2,7,1,1,0,0,10,1,2,7,18.1818181818182,18.1818181818182,63.6363636363636,9.09090909090909,9.09090909090909,0,0,90.9090909090909,9.09090909090909,18.1818181818182,63.6363636363636
"E00004254",16,3,2,11,2,0,1,1,14,3,1,10,18.75,12.5,68.75,12.5,0,6.25,6.25,87.5,18.75,6.25,62.5
"E00004255",14,5,0,9,0,0,0,0,14,5,0,9,35.7142857142857,0,64.2857142857143,0,0,0,0,100,35.7142857142857,0,64.2857142857143
"E00004256",13,5,4,4,0,0,0,0,13,5,4,4,38.4615384615385,30.7692307692308,30.7692307692308,0,0,0,0,100,38.4615384615385,30.7692307692308,30.7692307692308
"E00004257",11,4,5,2,0,0,0,0,11,4,5,2,36.3636363636364,45.4545454545455,18.1818181818182,0,0,0,0,100,36.3636363636364,45.4545454545455,18.1818181818182
"E00004258",2,0,0,2,1,0,0,1,1,0,0,1,0,0,100,50,0,0,50,50,0,0,50
"E00004259",21,9,3,9,5,4,1,0,16,5,2,9,42.8571428571429,14.2857142857143,42.8571428571429,23.8095238095238,19.047619047619,4.76190476190476,0,76.1904761904762,23.8095238095238,9.52380952380952,42.8571428571429
"E00004260",8,2,5,1,1,0,1,0,7,2,4,1,25,62.5,12.5,12.5,0,12.5,0,87.5,25,50,12.5
"E00004261",6,0,1,5,1,0,1,0,5,0,0,5,0,16.6666666666667,83.3333333333333,16.6666666666667,0,16.6666666666667,0,83.3333333333333,0,0,83.3333333333333
"E00004262",20,5,2,13,1,0,0,1,19,5,2,12,25,10,65,5,0,0,5,95,25,10,60
"E00004263",25,11,2,12,0,0,0,0,25,11,2,12,44,8,48,0,0,0,0,100,44,8,48
"E00004264",5,1,2,2,0,0,0,0,5,1,2,2,20,40,40,0,0,0,0,100,20,40,40
"E00004265",14,3,4,7,0,0,0,0,14,3,4,7,21.4285714285714,28.5714285714286,50,0,0,0,0,100,21.4285714285714,28.5714285714286,50
"E00004266",14,3,4,7,0,0,0,0,14,3,4,7,21.4285714285714,28.5714285714286,50,0,0,0,0,100,21.4285714285714,28.5714285714286,50
"E00004268",13,3,1,9,1,0,0,1,12,3,1,8,23.0769230769231,7.69230769230769,69.2307692307692,7.69230769230769,0,0,7.69230769230769,92.3076923076923,23.0769230769231,7.69230769230769,61.5384615384615
"E00004269",11,3,3,5,0,0,0,0,11,3,3,5,27.2727272727273,27.2727272727273,45.4545454545455,0,0,0,0,100,27.2727272727273,27.2727272727273,45.4545454545455
"E00004270",12,4,1,7,0,0,0,0,12,4,1,7,33.3333333333333,8.33333333333333,58.3333333333333,0,0,0,0,100,33.3333333333333,8.33333333333333,58.3333333333333
