"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E01000859",1586,1236,1024,951,13,30,30,0,0,0,0,0,2,23,187,162,124,23,39,17,4,7,34,38,2,11,1,24,25,2,23,55,7,5,1,2,2,43,2,2,25,3,11,0,78,12,4,8,32,4,7,21,11,0,11,0,0,0,23,2,21,0,150,130,106,24,5,12,3,2,1,67,0,66,52,14,1,0
"E01000860",1307,1036,819,760,18,27,14,0,0,0,0,0,0,61,156,123,101,11,29,22,12,4,23,22,0,7,1,14,33,3,30,67,13,7,2,3,2,47,4,0,34,4,5,0,86,13,6,7,11,2,2,7,19,3,9,1,3,3,43,27,16,0,92,59,44,15,4,19,10,3,7,26,0,26,12,14,0,0
"E01000861",1574,1214,946,889,15,26,16,0,0,0,2,0,0,58,208,167,128,31,17,30,5,15,30,39,0,25,0,14,41,10,31,72,8,14,5,5,4,49,6,19,16,2,6,1,162,38,10,28,26,7,8,11,78,45,18,5,1,9,19,7,12,1,79,55,38,17,2,16,6,3,3,47,0,47,34,13,0,0
"E01000862",1712,1298,1067,1009,10,27,21,0,0,0,0,0,0,19,212,176,155,28,30,36,2,14,45,21,0,2,6,13,36,6,30,70,13,13,3,6,4,44,8,5,22,2,7,0,110,28,9,19,20,8,5,7,33,11,21,1,0,0,29,7,22,0,178,125,99,26,22,24,7,2,5,56,0,56,37,19,0,0
"E01000863",1481,1131,837,785,13,33,6,0,0,0,0,0,0,59,235,203,159,43,26,30,10,17,33,44,1,28,2,13,32,1,31,75,4,14,3,4,7,56,6,20,9,2,19,1,139,27,10,17,42,7,3,32,51,21,21,5,2,2,19,6,13,0,96,77,64,13,0,11,8,6,2,40,0,39,33,6,1,0
"E01000864",1537,1236,1039,964,15,37,23,0,0,0,0,0,0,42,155,125,101,21,19,27,13,7,14,24,1,12,0,11,30,6,24,85,20,18,3,5,10,47,1,17,12,6,11,0,117,28,9,19,21,8,2,11,51,35,11,0,3,2,17,3,14,0,64,34,27,7,0,16,14,8,6,35,0,35,27,8,0,0
"E01000865",1505,1163,935,878,9,25,23,0,0,0,2,0,0,30,196,173,139,23,34,16,12,19,35,34,3,15,5,11,23,4,19,51,3,12,5,4,3,36,1,2,5,2,26,0,188,19,6,13,93,76,8,9,45,12,25,2,6,0,31,3,28,0,74,50,30,20,5,13,6,1,5,29,0,29,19,10,0,0
"E01000866",2030,1650,1341,1283,10,36,9,0,3,0,0,0,0,59,250,216,156,27,22,32,12,22,41,60,1,8,4,47,34,2,32,114,14,34,4,10,20,65,1,24,8,5,27,1,148,26,13,13,21,5,6,10,72,49,13,5,1,4,26,18,8,3,87,46,31,15,3,22,16,7,9,31,0,30,19,11,1,0
"E01000867",1608,1172,919,860,4,29,18,0,8,0,1,0,0,43,209,166,114,22,15,20,13,16,28,52,1,22,1,28,43,9,34,99,13,13,2,5,6,73,6,32,15,0,20,0,226,29,15,14,49,24,16,9,105,79,4,2,1,19,42,15,27,1,69,26,18,8,3,26,14,1,13,42,0,42,32,10,0,0
"E01000868",1442,1049,872,835,4,22,8,0,3,0,0,0,0,31,146,82,53,10,7,15,5,8,8,29,0,14,2,13,64,6,58,192,18,41,2,24,15,133,2,62,4,0,65,0,145,18,7,11,12,7,1,4,82,72,4,2,0,4,31,18,13,2,49,13,9,4,0,15,21,4,17,7,0,7,3,4,0,0
"E01000869",2110,1703,1354,1255,19,55,25,0,0,0,0,0,1,63,285,215,173,26,36,38,23,16,34,42,0,10,4,28,70,16,54,103,10,23,6,11,6,70,9,25,14,1,21,0,156,29,7,22,30,11,8,11,67,35,23,2,3,4,27,8,19,3,103,56,39,17,2,33,12,1,11,45,0,45,32,13,0,0
"E01000870",1693,1412,1188,1124,15,31,18,0,0,0,0,0,1,48,175,140,103,20,13,26,7,11,26,37,0,10,1,26,35,7,28,95,10,22,4,9,9,63,1,32,12,2,16,0,82,16,6,10,19,9,5,5,40,26,11,1,0,2,7,4,3,0,74,39,31,8,2,24,9,1,8,30,0,30,19,11,0,0
"E01000871",1664,1306,1039,998,5,18,18,0,0,0,1,0,0,44,222,169,106,15,20,15,5,12,39,63,2,27,2,32,53,5,48,99,25,11,4,3,4,63,7,11,27,9,9,0,150,38,18,20,13,2,6,5,77,42,12,13,2,8,21,8,13,1,74,49,38,11,1,17,7,1,6,35,0,35,16,19,0,0
"E01000872",1902,1370,906,845,20,27,14,0,0,0,1,0,0,95,368,312,191,52,14,49,11,17,48,121,2,73,1,45,56,4,52,122,21,27,3,8,16,74,15,23,11,5,20,0,249,57,24,33,65,44,3,18,57,6,18,4,21,8,65,41,24,5,103,46,32,14,1,44,12,6,6,58,0,57,30,27,1,0
"E01000873",1639,1359,1113,1028,20,42,23,0,0,0,0,0,1,47,198,160,124,40,18,18,5,9,34,36,3,15,1,17,38,6,32,56,6,6,2,4,0,44,7,6,26,4,1,0,95,37,22,15,13,3,0,10,28,5,11,6,6,0,16,5,11,1,85,49,36,13,4,25,7,4,3,44,0,44,25,19,0,0
"E01000874",1559,1088,840,781,6,29,24,0,0,0,1,0,1,23,223,184,147,32,20,33,5,11,46,37,5,7,2,23,39,9,30,94,22,13,0,7,6,59,6,1,45,2,5,0,195,83,35,48,36,9,10,17,58,5,36,10,5,2,16,4,12,2,135,112,80,32,2,18,3,2,1,47,0,46,31,15,1,0
"E01000875",1654,1209,862,810,5,27,20,0,0,2,0,0,0,48,297,245,169,38,13,39,12,23,44,76,5,31,5,35,52,8,44,115,14,35,23,8,4,66,8,13,22,6,17,0,204,69,29,40,41,17,7,17,70,18,26,6,13,7,23,8,15,1,81,28,20,8,3,34,16,5,11,45,0,45,18,27,0,0
"E01000876",1748,1251,958,899,10,36,13,0,0,0,1,0,0,91,201,142,99,15,15,27,5,7,30,43,3,20,2,18,59,6,53,178,22,54,15,16,23,99,4,47,15,3,30,3,187,55,19,36,21,7,2,12,82,37,21,9,6,9,29,11,18,0,76,30,19,11,6,30,10,7,3,56,0,54,28,26,2,0
"E01000877",1574,1217,925,854,11,34,26,0,0,0,0,1,0,33,258,200,155,39,25,44,8,8,31,45,4,14,3,24,58,3,55,76,10,16,6,6,4,49,6,2,28,5,8,1,156,67,29,38,24,2,7,15,40,1,20,4,3,12,25,8,17,0,78,58,48,10,0,18,2,0,2,47,0,47,37,10,0,0
"E01000878",1624,1141,877,837,5,20,14,0,1,0,0,0,0,24,240,195,147,30,42,21,5,7,42,48,2,19,0,27,45,7,38,71,13,10,1,8,1,48,4,1,27,4,12,0,266,95,37,58,55,21,8,26,92,9,58,12,10,3,24,5,19,0,115,91,81,10,2,16,6,3,3,31,0,30,13,17,1,0
"E01000879",1458,1088,817,763,5,28,21,0,0,2,1,0,0,25,243,194,163,28,35,35,8,10,47,31,1,13,2,15,49,4,45,49,7,7,3,3,1,35,0,0,23,6,6,0,132,36,21,15,39,7,2,30,38,1,28,0,9,0,17,6,11,2,145,118,97,21,5,17,5,3,2,44,0,42,30,12,2,0
