Beds,Bathrooms,LivingArea,PlotArea,AskPrice,Description,BuiltYear,Tenure,Property,FloorLevel,Latitude,Longitude,PropertyType,Floor,LeaseYearsLeft,Freehold,DistanceMRT,DistanceCBD,PlanningArea,Region,PriceSqft,Overlooking,Facing
3,1,850,,850000,3 Bed Condo for Sale in Spottiswoode Park,1979,99,Apartment,,1.274188,103.83544,,,56,0,.6387527,2.01404386594245,BUKIT MERAH,CENTRAL REGION,1000,Not mentioned,.
3,2,1055,,518000,HDB Flat for Sale in 54 Telok Blangah Drive,1978,99,HDB ,,1.2735972,103.81194,HDB,,55,0,.39203733,4.589734253512529,BUKIT MERAH,CENTRAL REGION,490.99527,Not mentioned,.
3,2,1000,,987000,HDB Flat for Sale in 70B Telok Blangah Heights,2017,99,HDB 3 Rooms ,,1.2767495,103.81054,HDB,,94,0,.67056537,4.709837385825709,BUKIT MERAH,CENTRAL REGION,987,Not mentioned,.
3,2,1184,,1000000,HDB Flat for Sale in 22 Jalan Membina,2003,99,HDB ,,1.2848879,103.82645,HDB,,80,0,.11367297,2.991911954438907,BUKIT MERAH,CENTRAL REGION,844.5946,Not mentioned,.
4,4,1346,,3699000,4 Bed Condo for Sale in Sky Everton,2023,999,Condo,High,1.2758898,103.83815,Condo,High,1000,1,.35224652,1.673884954287215,BUKIT MERAH,CENTRAL REGION,2748.1426,Sea view,South
3,2,915,,599000,HDB Flat for Sale in 68 Redhill Close,2001,99,HDB 4 Rooms ,,1.286872,103.81602,HDB,,78,0,.29658341,4.172218346995907,BUKIT MERAH,CENTRAL REGION,654.64484,Not mentioned,.
3,2,1216,,2796000,3 Bed Condo for Sale in The Reef At King&#x27;s Dock,2025,99,Condo,,1.2651302,103.81738,Condo,,102,0,.34813941,4.244088481749881,BUKIT MERAH,CENTRAL REGION,2299.342,Sea view,.
3,3,1292,,1900000,3 Bed Condo for Sale in Central Green Condominium,1995,99,Condo,,1.285046,103.82809,Condo,,72,0,.14622538,2.81634376057026,BUKIT MERAH,CENTRAL REGION,1470.5883,Not mentioned,.
3,2,1076,,785000,HDB Flat for Sale in 63B Lengkok Bahru,2001,99,HDB 4 Rooms ,,1.289075,103.81532,HDB,,78,0,.18963794,4.303522511308382,BUKIT MERAH,CENTRAL REGION,729.55389,Not mentioned,.
5,2,1410,,860000,HDB Flat for Sale in 81 Redhill Lane,1996,99,HDB 5 Rooms ,Low,1.2877582,103.8195,HDB,Ground,73,0,.3143442,3.816734046842679,BUKIT MERAH,CENTRAL REGION,609.92908,Not mentioned,.
2,1,527,,278888,HDB Flat for Sale in 28 Jalan Klinik,1969,99,HDB ,,1.2878988,103.8282,HDB,,46,0,.18703084,2.891113207645859,BUKIT MERAH,CENTRAL REGION,529.19922,Not mentioned,.
3,2,1076,,660000,HDB Flat for Sale in 69 Redhill Close,2001,99,HDB 3 Rooms ,,1.2870165,103.81638,HDB,,78,0,.26924157,4.137150132569642,BUKIT MERAH,CENTRAL REGION,613.38287,Not mentioned,.
3,4,1152,,2400000,3 Bed Condo for Sale in Highline Residences,2018,99,Condo,,1.2843674,103.82977,Condo,,95,0,.33565068,2.61778145867564,BUKIT MERAH,CENTRAL REGION,2083.3333,Not mentioned,.
